Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,,,,,,,
2000,25.34,39.42,49.94,44.66,55.58,71.96,27.76
2001,25.42,40.3,53.94,45.47,56.59,77.11,28.57
2002,26.87,40.33,54.08,45.47,56.83,78.89,28.78
2003,28.58,51.8,54.33,50.48,57.25,81.2,28.93
2004,28.58,56.03,66.65,54.13,57.75,81.23,29.09
2005,29.22,56.66,66.91,63.39,57.88,81.23,29.17
2006,29.81,64.09,71.97,65.94,58.52,82.76,29.38
2007,30.17,64.29,79.47,69.23,59.13,82.86,29.52
2008,31.51,67.18,80.42,69.23,59.18,82.99,29.68
2009,31.54,67.72,80.43,72.58,59.85,83,30.11
2010,33.8,67.73,80.46,72.58,60.11,88.5,30.3
2011,33.81,68.85,80.46,72.58,61.3,88.5,30.54
2012,33.81,70.62,80.47,72.59,62.08,88.5,30.55
2013,33.93,71.45,80.48,73.02,62.84,88.5,31.29
2014,33.95,71.6,80.84,73.35,64.3,88.5,31.6
2015,33.95,72.83,80.84,74.11,66.13,88.5,31.64
2016,34.57,74.29,80.87,74.34,66.84,88.5,31.84
2017,38.91,75.28,80.87,74.89,67.23,88.5,31.89
2018,38.91,85.48,81.49,75.32,67.67,88.5,31.93
2019,38.91,87.6,81.49,75.48,67.75,88.5,31.94
2020,38.91,87.6,81.49,75.48,67.75,88.5,31.94
