Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,,,,,,,
2000,,,,,,,
2001,,,,,,,
2002,79890000,111430000,245730000,,627800000,1630000,59070000
2003,99360000,67440000,202460000,380000,1196710000,5670000,76270000
2004,237790000,117120000,279560000,340000,603410000,310000,73350000
2005,6000000,71890000,319330000,70000,1160130000,,45780000
2006,82620000,120390000,310230000,13100000,1242390000,11510000,50110000
2007,57970000,161490000,247170000,111770000,1950520000,7470000,241650000
2008,28470000,196800000,272050000,63780000,851380000,25180000,254640000
2009,119910000,225440000,363760000,50830000,995760000,64680000,245460000
2010,44010000,429110000,592960000,8360000,915730000,183140000,1047210000
2011,68960000,295770000,1167880000,80160000,1152990000,87090000,1285570000
2012,285880000,501820000,990230000,36690000,354510000,68820000,1111750000
2013,46380000,231750000,969490000,71800000,104350000,223980000,1072380000
2014,37960000,653320000,1169060000,59910000,1158530000,208990000,1351590000
2015,62550000,1739780000,1302220000,72600000,2119980000,437750000,1211770000
2016,24250000,2069450000,1228960000,52070000,700250000,316380000,1406930000
2017,4770000,2491230000,1930310000,157450000,420690000,296810000,896280000
2018,25170000,1604470000,1595770000,157360000,296780000,228960000,554980000
2019,136710000,345650000,2304350000,156910000,66820000,464840000,866390000
2020,42730000,433710000,2375960000,257220000,383760000,148160000,578590000
