Entity,Code,Year,"16.2.3 - Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29) - VC_VAW_SXVLN - 18 to 29 years old - Male"
Burundi,BDI,2017,0.2
Cameroon,CMR,2018,2.1
Colombia,COL,2015,0.3
Guatemala,GTM,2015,1
Kenya,KEN,2014,1.7
Mozambique,MOZ,2015,0.4
Palestine,PSE,2019,3.5
Rwanda,RWA,2020,2.8
Sierra Leone,SLE,2013,0.3
Uganda,UGA,2016,1.3
United Kingdom,GBR,2016,1.2
