"","ind1.1.1","ind1.a.1.1","ind1.a.2.1","ind12.2.2.1","ind12.2.2.2","ind13.1.1.1","ind14.1.1.2","ind15.1.1","ind15.1.2.2","ind15.1.2.3","ind15.4.1","ind15.a.1.2","ind15.b.1.2","ind2.5.2","ind3.1.1","ind3.2.1","ind3.2.2","ind3.3.2","ind3.4.1","ind3.4.2","ind3.6.1.1","ind3.b.1.1","ind3.b.1.3","ind6.1.1.1","ind6.2.1.1","ind7.1.1","ind7.1.2","ind7.2.1","ind7.3.1","ind8.1.1","ind8.2.1","ind8.4.2.1","ind8.4.2.2","ind8.5.2.1","ind9.1.2.1","ind9.1.2.2","ind9.1.2.3","ind9.2.1","ind9.2.2.1","ind9.2.2.2","ind9.4.1","ind9.5.1","ind9.5.2","ind9.c.1.1","ind9.c.1.2"
"2000-01-01",0.000789792628122954,0,0.024460757939464,0,0,0.00306334179273689,0,0.000209580576088997,0,0,0,0,0,0,0,0.028571428571428,0.0238095238095241,0,0,0,0.0104335235499531,0,0,0,0,0,0,0,0.0122055582655159,0.03599498558351,0,0,0,0.022373540856031,0.0341584710129971,0.0047395317324601,0.0676237060340059,0.022306762001249,0.00791778092391604,0,0.005787316132144,0.029877525020622,0.007162753726624,0.049799451168188,0.076714394827206
"2001-01-01",0.000148034805881991,0,0.050898621802831,0.013938981200249,0.01226988468947,0.0003222209157066,0.086227544910179,0.001000428827299,0.00644526344294899,0.010978246104393,0.0128106861746839,0,0,0.0588235294117651,0.0588235294117651,0.014285714285714,0,0.009090909090909,0.051020408163265,0.021052631578947,0.0112852397581129,0.027777777777777,0,0,0.00237060450414806,0,0,0.03434065934066,0.0279597589682631,0.183787119392392,0.10759493670886,0.013938981200249,0.01226988468947,0.071984435797666,0.0475919941829961,0.0017869766376446,0.0527742441950809,0.079198332628525,0.035184311257931,0,0.0303834096937541,0.00676373971115507,0.016497375417548,0.03928672156337,0.06367724749048
"2002-01-01",0.000200629494280014,0.142857142857143,0.039210157823579,0.020725372155484,0.022710281195852,0.00229017015201484,0.413173652694611,0.001000428827299,0.003337064480741,0.001444304470545,0.00328060977542551,0,0,0.07843137254902,0,0.014285714285715,0,0.0121212121212121,0.03061224489796,0.021052631578948,0.0123711779235161,0,0,0,0.00276570525483999,0,0,0.00732600732600799,0.00618825417916902,0.049383400996431,0.075949367088607,0.020725372155484,0.022710281195852,0.102140077821011,0.0262314948967169,0.0018082745284862,0.0382788430623869,0.031627417069267,0.032090608777725,0,0.0113334940921149,0.033629219058898,0.019965325672805,0.026302457929807,0.102964768074986
"2003-01-01",0.127511999285739,0.142857142857143,0.02302513588831,0.00365881890611897,0.012867986595481,8.45161025567979e-06,0.064670658682635,0.001000428827299,0.002485845359183,0.00402224704938739,0.0023781254260082,0.0067161686831572,0.0067161686831572,0.0196078431372541,0,0.0142857142857139,0,0.00303030303030299,0.030612244897959,0.00526315789473697,0.00159696789029895,0,0.142857142857143,0,0.00237060450414905,0,0,0.022435897435897,0.0239438186865959,0.072908614169945,0.031645569620253,0.00365881890611897,0.012867986595481,0.020428015564203,0.010384850325871,0.0014550388006105,0.109213039338036,0.008575594999573,0.031566252425148,0,0.018085362912949,0.00120633772287504,0.056501401846494,0.037910358054182,0.0308930542736431
"2004-01-01",0.00126350400694497,0,0.029763506056342,0.026127109241453,0.00800401080101698,0.00180120725063952,0.233532934131737,0.001000428827299,0.003118459989355,0.002119535278142,0.0025218895995646,0.0011659742850791,0.0011659742850791,0.11764705882353,0,0,0,0.0060606060606061,0.061224489795918,0.010526315789474,0.0152670130312581,0,0,0,0.00237060450414794,0,0,0.00686813186813198,0.015489408279564,0.053298419570004,0,0.026127109241453,0.00800401080101698,0.044747081712063,0.098310884300982,0.000613503933225699,0.076189836182455,0.009010334905595,0.016726967647214,0.033557046979865,0.021220159151194,0.023861030943474,0.024817741842134,0.048671631607624,0.032478453952308
"2005-01-01",7.71217723539719e-05,0.142857142857142,0.00163824738570195,0.010983003076193,0.00357102020353101,0.0896608815872265,0.00119760479041897,0.00100042882729795,0.00230694658153899,0.000875365060336003,0.0013130355631082,0.0106949603500707,0.0106949603500707,0,0,0.014285714285714,0.0238095238095239,0.006060606060606,0.030612244897959,0,0.00272549186611004,0,0,0,0.00276570525483999,0,0,0.016483516483517,0.0254376503514011,0.017266812315325,0.050632911392405,0.010983003076193,0.00357102020353101,0.043774319066148,0.046817057697542,0.0014150887096547,0.00217157096174803,0.012406686825422,0.00388023700907097,0.02013422818792,0.030142271521582,0.00608477905096794,0.011020811008009,0.036456331925764,0.034055694175525
"2006-01-01",0.00042214292824605,0.142857142857142,0.049586299423337,0.011651128324285,0.018734662644138,0.0896201070484696,0.132934131736527,0.001000428827299,0.00607988165020501,0.002630746284623,0.0033968244267364,0.0017388790522322,0.0017388790522322,0.0196078431372549,0.0588235294117649,0.014285714285715,0.0238095238095241,0.0060606060606061,0.040816326530613,0.010526315789473,0.0119666127246399,0,0,0.00191204588910231,0.00237060450414905,0,0,0.025641025641025,0.031357755885119,0.043018675315549,0.044303797468354,0.011651128324285,0.018734662644138,0.044747081712062,0.00549754486175102,0.0043639533850875,0.0592751729809859,6.9143772748026e-05,0.00529599916102999,0.013422818791946,0.039305522064142,0.0166988868486561,0.0149770850937331,0.050339239045241,0.010218845282198
"2007-01-01",0.000503523587563004,0,0.00244443754656098,0.033263234404641,0.03216556868057,0.0012555098727084,0.112574850299401,0.001000428827299,0.00674030515105101,0.00973530706107301,0.0021504460410149,0.0736316842372962,0.0736316842372962,0,0,0.028571428571428,0.0238095238095239,0.0060606060606061,0.030612244897959,0.015789473684211,0.0339408908951541,0,0,0.00191204588910229,0.00276570525483899,0,0,0.00457875457875401,0.000247800028758016,0.059132924518735,0.006329113924051,0.033263234404641,0.03216556868057,0,0.0207087317621489,0.00702115032969301,0.017279296071199,0.014033187477248,0.00644958313669999,0.013422818791946,0.00458162527128103,0.029175682110926,0.00561842673758106,0.036378152729929,0.06438957418971
"2008-01-01",7.245239026199e-05,0,0.00841369367877898,0.038974435679158,0.02819874574512,0.00026253149135864,0.316167664670659,0.001000428827299,0.00401429227242001,0.018942987455836,0.00258981342165231,0.00563154303564539,0.00563154303564539,0.0196078431372551,0,0.014285714285714,0.0238095238095231,0.006060606060606,0.020408163265306,0.01578947368421,0.041797972915424,0.027777777777778,0,0.0019120458890996,0.00237060450414894,0,0,0.02518315018315,0.019586886701235,0.122990214020119,0.063291139240506,0.038974435679158,0.02819874574512,0.11284046692607,0.046911524449501,0.0040948437825592,0.030624253260449,0.034927263139699,0.041319280583084,0.013422818791947,0.031347962382445,0.0530708103194689,0.0362659799617581,0.019791568315526,0.010609923343153
"2009-01-01",0.000186364788547944,0,0.020343583588555,0.056749979319461,0.03274607935405,0.00249092195173002,0.280239520958084,0.001000428827299,0.00215466699026096,0.003641403741376,0.00670276709618059,0.00365394156491559,0.00365394156491559,0,0.0588235294117641,0.014285714285715,0,0.0181818181818182,0.030612244897959,0.00526315789473702,0.042032194872669,0.027777777777778,0.0714285714285721,0.0019120458891024,0.00276570525483999,0,0,0.022893772893773,0.018610869411436,0.142916005352515,0.063291139240506,0.056749979319461,0.03274607935405,0.337548638132296,0.024663516046573,0.00283571626865441,0.0989995464538189,0.034758965583168,0.0580462482302973,0.053691275167785,0.043887147335423,0.0196388489134121,0.037693918887585,0.0215267972427811,0.031829770029459
