"","ind1.1.1","ind1.a.1(1)","ind1.a.2(1)","ind12.2.2(1)","ind12.2.2(2)","ind13.1.1(1)","ind14.1.1(2)","ind15.1.1","ind15.1.2(1)","ind15.1.2(2)","ind15.4.1","ind15.a.1(1)","ind15.b.1(1)","ind2.5.2","ind3.1.1","ind3.2.1","ind3.2.2","ind3.3.2","ind3.4.1","ind3.4.2","ind3.6.1(1)","ind3.b.1(1)","ind3.b.1(2)","ind6.1.1(1)","ind6.2.1(1)","ind7.1.1","ind7.1.2","ind7.2.1","ind7.3.1","ind8.1.1","ind8.2.1","ind8.4.2(1)","ind8.4.2(2)","ind8.5.2(1)","ind9.1.2(1)","ind9.1.2(2)","ind9.1.2(3)","ind9.2.1","ind9.2.2(1)","ind9.2.2(2)","ind9.4.1","ind9.5.1","ind9.5.2","ind9.c.1(1)","ind9.c.1(2)"
"2000-01-01",0.141748790915304,0,0.165100302132532,0,0,0.0134064274332535,0,0.00559781573873557,0,0,0,0,0,0,0,0.0699854212223766,0.0583211843519809,0,0,0,0.023912406557749,0,0,0,0,0,0,0,0.0456130013045318,0.246194981207333,0,0,0,0.229157361517294,0.0399297973963501,0.0158559095308804,0.0700500046284639,0.0562000881573932,0.0601885266419706,0,0.0514325732319263,0.0585815100730155,0.082233010479144,0.308523447859339,0.254666583098862
"2001-01-01",0.0864554697202781,0.285714285714285,0.130053848234376,0.0580997157859506,0.0828069271346562,0.00757770053478038,0.35644992017316,0.00554904879830381,0.135522263038046,0.15881106208794,0.1068869703159,0,0,0.16637806616154,0.131533410441164,0.068511878904467,0.0673435029701472,0.165033318838668,0.118999018262149,0.0613784409983715,0.0226045626058541,0.0621129993749942,0.860113898485163,0.0421518311377601,0.017949927604268,0,0,0.0458310233140194,0.0545231142362548,0.378945787431602,0.301082275753577,0.0580997157859506,0.0828069271346562,0.231866705233299,0.0477287941284646,0.00596452498614948,0.0612390118816069,0.153756561970062,0.0739176020337941,0.0643735774941308,0.0545942360280048,0.0730858539458432,0.0687795574246786,0.158290682802252,0.211114336580495
"2002-01-01",0.0701957964869982,0.285714285714286,0.085726005500945,0.0370311032796643,0.037327080412495,0.00549764846030384,0.596117333312994,0.0055490487983052,0.0142651326377175,0.0339410023510888,0.0367928026530859,0,0,0.0808452083454447,0,0.0606091526731331,0.0532397137499946,0.0912116178381365,0.0706959513293424,0.044659375653887,0.0234468921530229,0,0.101015254455222,0.0421084427257076,0.0176296416573078,0,0,0.0453989923923902,0.0462123012580586,0.218376696735874,0.14543196573514,0.0370311032796643,0.037327080412495,0.145748933421531,0.0331666072493853,0.0135312915791039,0.0424244186297959,0.0721294174175613,0.0798647227742829,0.0900430058053603,0.0550587678841297,0.0471402220075361,0.0940591540680713,0.0673058464180311,0.335576861147775
"2003-01-01",0.208078248514409,0.247435829652697,0.0613996483292917,0.0265283626697548,0.0414798838467253,0.00626873090840116,0.560690118399531,0.00554904879830375,0.0902118518470383,0.0940624796538373,0.203587346240994,0.219467338978657,0.219467338978657,0.0392156862745096,0.101885341621699,0.0494871659305386,0.0629940788348714,0.0659047368816105,0.0756754947662821,0.102462749125957,0.0209761703684117,0.186338998124983,0.446071285599887,0.0401984627947026,0.0250445262611463,0,0,0.0697880909484905,0.0554617733516913,0.143159837123273,0.125947776848939,0.0265283626697548,0.0414798838467253,0.140114970214451,0.0240309201822016,0.00867887676304265,0.109394837560894,0.0971082529955982,0.0988497954517376,0.123752274594536,0.0293990849368277,0.0337738264798516,0.115903969277076,0.0930466271953018,0.140302379320127
"2004-01-01",0.121172410529146,0.142857142857143,0.152357521895303,0.0616749136343078,0.0415324194261616,0.0160378980803463,0.571744353718983,0.00554904879830445,0.2439848802393,0.180380164235418,0.214251261663778,0.236932446288344,0.236932446288344,0.230340002440603,0,0.0473803541479349,0.0532397137499945,0.0800596655371092,0.152379433908857,0.0974750483023801,0.028367552371765,0.168965625841617,0.236901770739672,0.0544849210278206,0.0252833611312146,0,0,0.0487395467011266,0.0272804951069046,0.210651356092382,0.34503830811238,0.0616749136343078,0.0415324194261616,0.169241132193251,0.0996145147382314,0.0144482414456554,0.0809621031319795,0.0617079204108041,0.0898991954187948,0.107592077462291,0.0601725509059476,0.0385154337730718,0.0744391840807584,0.116442391060778,0.18758613775398
"2005-01-01",0.0791810505820976,0.319438282499969,0.0572666395005641,0.041020984085949,0.06573947450647,0.090686352307833,0.800973805822261,0.00554904879830443,0.149690106974943,0.150815152691058,0.147330209585779,0.233909722753505,0.233909722753505,0.325749955408553,0.0588235294117641,0.0494871659305395,0.047619047619048,0.111381672421146,0.0783790382435577,0.0595458342051832,0.0160068131414184,0.0621129993749938,0.188982236504612,0.0575840166209385,0.0239712545430546,0,0,0.0638518776895394,0.0458042525343786,0.1159270877966,0.371373939295711,0.041020984085949,0.06573947450647,0.0919041931434367,0.0489618297849624,0.0176907145738352,0.0130111857097862,0.0818598641656869,0.0845838320544917,0.0939597315436244,0.067532896641356,0.0697983448574609,0.102581166376592,0.13852319659139,0.113967710667703
"2006-01-01",0.167453882216125,0.285714285714285,0.0616111694234468,0.0506763097330058,0.0417409043519811,0.0896913146253688,0.544375601436235,0.0055490487983044,0.112708231603513,0.150637349135901,0.150622150804158,0.0489308204828833,0.0489308204828833,0.0518774766875412,0.0831890330807705,0.0451753951452626,0.053239713749995,0.0423158789205119,0.105551841150904,0.071003881911747,0.0210556796348885,0.027777777777777,0.188982236504614,0.0576157520968236,0.0233911657299334,0,0,0.0782203534947348,0.0669140616810648,0.226407446448339,0.256543901259636,0.0506763097330058,0.0417409043519811,0.157025104763115,0.0144520452936969,0.0167184283782348,0.0608033119389893,0.0776600969785349,0.0393808377489508,0.0741299397126656,0.0726510535935025,0.0480958180809035,0.0504275438643938,0.131829231684509,0.0694303005940005
"2007-01-01",0.0384898290845259,0.142857142857142,0.0619701749777244,0.0719902333905155,0.0654506835647296,0.00703712514158836,0.590915728072689,0.00554904879830379,0.0853768786657658,0.052800621153001,0.130138150871307,0.285319122959112,0.285319122959112,0.0831890330807707,0.058823529411765,0.0451753951452623,0.0476190476190479,0.0964950504732769,0.0499895865874115,0.0734960002303625,0.0369071283961236,0.0621129993749938,0.10101525445522,0.0394641824867119,0.0237225018605749,0,0,0.112403528984791,0.0692419480178022,0.189666908856578,0.163947263885932,0.0719902333905155,0.0654506835647296,0.188843773151639,0.0235035928197839,0.0250610669383305,0.0212961841903476,0.0732415497817135,0.0392580106845227,0.0577337266244471,0.064203462878601,0.0450371117855195,0.0855535713689943,0.147010642019734,0.235950216862595
"2008-01-01",0.10586137213461,0.473803541479342,0.0529221190443541,0.074150450423105,0.0703299880038026,0.00264912619332122,0.48227353090804,0.00554904879830384,0.0604805013163894,0.0792505056100816,0.052730730001273,0.421068836009039,0.421068836009039,0.175377880588219,0.0588235294117649,0.0451753951452623,0.0532397137499945,0.0840874965182527,0.0721537531823003,0.0482376388942719,0.0439683798565494,0.0392837100659196,0.159719141249985,0.0394178358089637,0.0234777629660137,0,0,0.120696005436137,0.0272409789599472,0.510006880497287,0.436066304021492,0.074150450423105,0.0703299880038026,0.183068140846374,0.0478727407804858,0.0176321009111582,0.032779907542301,0.124760528218168,0.0745991225214068,0.172419229243827,0.0622276665024295,0.0823991089846833,0.0818266429872573,0.086189386023362,0.0877943429369118
"2009-01-01",0.200729567733385,0.285714285714285,0.0682483116569843,0.0794473701154082,0.0659161886055697,0.0427790695925013,0.353662650853159,0.00554904879830516,0.0685062191222265,0.00751541905759503,0.0551803389838831,0.078623898069924,0.078623898069924,0.273808628309195,0.0831890330807694,0.040406101782089,0.0336717514850739,0.0577350269189626,0.0749843798811172,0.0427580968665044,0.0437806726922602,0.406353856620217,0.159719141249985,0.0382409177820282,0.0231597801497474,0,0,0.0987228756407426,0.0255949186426605,0.686517296843034,0.441906330499017,0.0794473701154082,0.0659161886055697,0.493188742810871,0.0279981970220838,0.0252902878167618,0.123287997684803,0.255711232988868,0.128500347283833,0.164805760507499,0.0747987133332049,0.095614644253086,0.090467083201317,0.0459309003360605,0.092342241301359
"2010-01-01",0.225913372495328,0.142857142857143,0.0855845100501268,0.0357473443161118,0.0275698195464626,0.0403962865540644,0.68633517459661,0.00554904879830376,0.0466097430610592,0.0247429405438811,0.0942984858604242,0.34428357834295,0.34428357834295,0.107396579902973,0.0588235294117649,0.0494871659305386,0.0532397137499949,0.0545454545454546,0.0809923870734062,0.0523677598477173,0.0377211373001641,0.198373011903968,0.174963553055941,0.0538776397843409,0.0230956582310165,0,0,0.0614747893607773,0.0271919705671522,1.1745539566306,0.97242051932259,0.0357473443161118,0.0275698195464626,0.109503869879146,0.0536175985649278,0.00913204242983097,0.141595804278313,0.180317499078424,0.0994679537946059,0.0738255033557049,0.0174821017221044,0.0628916159075074,0.0805889822327999,0.141354169895166,0.087238026068215
"2011-01-01",0.184328228838856,0.428571428571428,0.0794907816786764,0.0518142692255597,0.0321995835009935,0.998496839566564,0.243302484204998,0.00446819687250024,0.0249365054918362,0.00717871927124941,0.0261535726663836,0.273200111561425,0.273200111561425,0.478688455518969,0.058823529411765,0.0404061017820887,0.0336717514850738,0.0742887919523113,0.0676862202113343,0.0698236797969554,0.014092573825118,0.22047927592205,0.188982236504614,0.0539793277762632,0.0233109442907933,0,0,0.101276420830586,0.0912404755949466,0.286547831667272,0.385089006206994,0.0518142692255597,0.0321995835009935,0.153496274054016,0.0295141064618709,0.0121637127579717,0.0287029078691464,0.0859186512855707,0.186119805387902,0.023249004128441,0.0914559236732227,0.0610220186576444,0.0651977425785645,0.0615101405075612,0.0387214786006031
"2012-01-01",0.165469995258058,0.142857142857143,0.0746291677149001,0.0416386726433028,0.0472683644040664,0.98793721941843,0.360021194510781,0.00446819687250012,0.0477636951970399,0.0746369928318812,0.0306112594268368,0.339807057265877,0.339807057265877,0.164050985594916,0.11764705882353,0.049487165930539,0.0412393049421165,0.0520471637494477,0.0594995091310748,0.100964874175005,0.0136249971159504,0.152145154862546,0.327326835353989,0.0520132715439231,0.0230245788768608,0,0,0.149121257027927,0.049457756971149,0.457854686195484,0.29974886673961,0.0416386726433028,0.0472683644040664,0.252270196285987,0.0140145839856025,0.0239785553144381,0.0227617711548997,0.0267289384055083,0.183151376466771,0.0413719060601948,0.0557462222989306,0.0558700119268562,0.0678049976322636,0.0502500041099337,0.0716906492456176
"2013-01-01",0.204897451539134,0.142857142857143,0.077773393348281,0.0441344217591949,0.0316548143988633,0.00698691555580879,0.671429198098423,0.00446819687249946,0.0977211256939154,0.0832894795561085,0.0224987883239215,0.177718970674937,0.177718970674937,0.1506107009386,0,0.0349927106111889,0.047619047619048,0.0445361771415119,0.0777119704679986,0.0620517164344815,0.0117461014155938,0.124225998749988,0.174963553055941,0.0539793277762648,0.0227380396206063,0,0,0.11927809473603,0.0223307042282808,0.0745850973252038,0.191762751994216,0.0441344217591949,0.0316548143988633,0.175755356514697,0.0134546984651291,0.0241219638244869,0.0503314382023802,0.0405685378091743,0.0496013948687383,0.034873506192662,0.0432639783879796,0.068714772918952,0.0621405354352662,0.0676766783699669,0.111715012362674
"2014-01-01",0.198402012119457,0.247435829652697,0.0601151966467482,0.039787266203089,0.056828011787785,0.0120282080464657,0.591464015772268,0.00446819687249955,0.0299925886174041,0.00738528662739741,0.024869588281777,0.458062409706305,0.458062409706305,0.369960044394377,0.058823529411765,0.0404061017820877,0.0412393049421163,0.0670101345075639,0.0653380024227844,0.110275404419774,0.0108903583135096,0.0785674201318385,0.123717914826348,0.0535031303236451,0.0227277392623772,0,0,0.0787119741646311,0.0779585023989781,0.203517044178797,0.175967579423517,0.039787266203089,0.056828011787785,0.19740371864192,0.0236036661958469,0.00860311112325922,0.034954312763251,0.0341221880156492,0.0539584853014602,0.0424466800022608,0.0871386743025041,0.0557771648248605,0.0493758299427119,0.124803712217409,0.0515378683339657
