"","ind1.1.1","ind1.a.1(1)","ind1.a.2(1)","ind12.2.2(1)","ind12.2.2(2)","ind13.1.1(1)","ind14.1.1(2)","ind15.1.1","ind15.1.2(1)","ind15.1.2(2)","ind15.4.1","ind15.a.1(1)","ind15.b.1(1)","ind2.5.2","ind3.1.1","ind3.2.1","ind3.2.2","ind3.3.2","ind3.4.1","ind3.4.2","ind3.6.1(1)","ind3.b.1(1)","ind3.b.1(2)","ind6.1.1(1)","ind6.2.1(1)","ind7.1.1","ind7.1.2","ind7.2.1","ind7.3.1","ind8.1.1","ind8.2.1","ind8.4.2(1)","ind8.4.2(2)","ind8.5.2(1)","ind9.1.2(1)","ind9.1.2(2)","ind9.1.2(3)","ind9.2.1","ind9.2.2(1)","ind9.2.2(2)","ind9.4.1","ind9.5.1","ind9.5.2","ind9.c.1(1)","ind9.c.1(2)"
"2000-01-01",0,0,0.0927316999144669,0,0,0.00154680884157111,0,0.000272852523334033,0,0,0,0,0,0,0,0.014285714285715,0,0,0,0,0.00883655565965399,0,0,0,0,0,0,0,0.015439844342201,0.058867179063264,0,0,0,0.0914396887159531,0.00365169614645509,0.00368776889981598,0.012140640305278,0.0365577900991539,0.0158355618478321,0,0.028936580660719,0.021937655773684,0.00977912748572801,0.18998979050155,0.099418843313043
"2001-01-01",0,0,0.064511595342549,0.048449594334108,0.068236390982734,0.000685480070637634,0.307784431137725,0.000277905347840002,0.126945115252898,0.157526997262552,0.063267161175314,0,0,0,0,0.028571428571428,0.023809523809524,0.090909090909091,0.061224489795919,0,0.010497402265565,0,0.214285714285714,0,0.000395100750691046,0,0,0.00915750915750899,0.00802570073993603,0.078094072068182,0.075949367088608,0.048449594334108,0.068236390982734,0.0145914396887159,0.0017359006202135,0.000802686016750015,0.002382629709374,0.0135793907263859,0.0393267264432909,0.013422818791946,0.00771642150952495,0.00230640412888095,0.019529790499474,0.060540126635594,0.015220919848837
"2002-01-01",0,0.142857142857143,0.0158444389261371,0.011923496485101,0.013773935070761,0.00205421179686727,0.311377245508982,0.000277905347840002,0.00560371050638497,0.007712624175917,0.00232508467915604,0,0,0,0,0.014285714285715,0,0.00303030303030299,0.020408163265306,0.00526315789473603,0.00726088067456,0,0,0,0.000790201501382981,0,0,0.023351648351648,0.014221261405915,0.116039712690868,0.044303797468354,0.011923496485101,0.013773935070761,0.0690661478599219,0.0060679992043651,0.010063389261437,0.003981561750382,0.036550916257409,0.021708352996696,0.00671140939597403,0.022908126356402,0.011323547975995,0.005135220761676,0.022574895062782,0.182162416627748
"2003-01-01",0,0.142857142857143,0.00222198079629199,0.00719246351546202,0.00598101906009998,0.00265430726572708,0.455089820359281,0.000277905347840002,0.011505585642176,0.00909441234195008,0.00396649788098297,0.017230150395043,0.017230150395043,0,0.058823529411765,0.014285714285714,0,0.00606060606060602,0.030612244897959,0.010526315789473,0.00687760838088709,0.166666666666667,0.285714285714286,0,0.000395100750691046,0,0,0.047161172161172,0.00114339856054099,0.02408690676878,0.018987341772152,0.00719246351546202,0.00598101906009998,0.126459143968872,0.011918467500377,0.000167417369208001,0.002345081540988,0.00329266931309802,0.051701536364113,0.0335570469798651,0.00217024354955397,0.0156177231705009,0.010262620981553,0.04298139147126,0.0751182572695219
"2004-01-01",0,0,0.020275466986729,0.006514419543378,0.00384368430774099,4.67216477310125e-08,0.44311377245509,0.000277905347839946,0.16200466564443,0.107038857097987,0.194969710566936,0.0306993852223213,0.0306993852223213,0.0196078431372551,0,0.014285714285714,0.023809523809523,0.033333333333333,0.061224489795918,0.021052631578948,0.0113065326633166,0.166666666666667,0.071428571428571,0.00382409177820398,0.00355590675622297,0,0,0.041208791208791,0.00282243388776901,0.120736870235914,0.158227848101266,0.006514419543378,0.00384368430774099,0.0924124513618679,0.0103773793891064,0.00363731435019202,0.018079713124111,0.012882029459395,0.006502018771958,0.00671140939597303,0.028695442488546,0.013584458936889,0.00512952786727805,0.049713859897794,0.09368562312004
"2005-01-01",0,0,0.019788303948349,0.011679495874902,0.017547254448383,0.000342954894723119,0.0359281437125749,0.000277905347841001,0.00655605279402593,0.00616900496341199,0.00411327033570297,0.015835286023943,0.015835286023943,0.03921568627451,0,0.028571428571429,0,0.018181818181819,0.03061224489796,0.036842105263158,0.0084106975555745,0.055555555555555,0,0.00191204588909999,0.00355590675622297,0,0,0.043040293040293,0.00883856981360598,0.025242821783709,0.278481012658228,0.011679495874902,0.017547254448383,0.0428015564202331,0.0095860006647942,0.00904741810309201,0.008065388837426,0.00237966146372304,0.074301295160191,0.067114093959732,0.029659995177236,0.000660057932338032,0.007249009702332,0.061153910300185,0.0422274949057481
"2006-01-01",0,0,0.021686946444831,0.00885623027785701,0.00363258951738502,0.00017240602065068,0.1437125748503,0.000277905347840002,0.038007290682853,0.0363106187568339,0.080214075620905,0.003623879954464,0.003623879954464,0,0,0.014285714285714,0,0.024242424242424,0.051020408163265,0.026315789473684,0.0072821735797632,0.027777777777777,0,0.00191204588910199,0.00355590675622308,0,0,0.059981684981685,0.00543088209229101,0.194495206124864,0.215189873417722,0.00885623027785701,0.00363258951738502,0.0894941634241241,0.00977274650367989,0.00497894669247498,0.00967127163380799,0.039121309243363,0.00985789942845094,0.013422818791946,0.023631540872921,0.01271194881449,0.02415759610806,0.0499065930174061,0.0366042355338779
"2007-01-01",0,0,0.041152774328836,0.021860867678072,0.013835504384615,0.00103302566909585,0.053892215568863,0.000277905347840002,0.0687857620961531,0.024949614184115,0.118661967203719,0.0251140517295461,0.0251140517295461,0,0,0.014285714285714,0.023809523809524,0.0181818181818181,0.010204081632653,0.021052631578947,0.0052806404905885,0.055555555555555,0,0.0019120458891021,0.00355590675622297,0,0,0.086080586080587,0.050213990765627,0.050676630862318,0.050632911392405,0.021860867678072,0.013835504384615,0.154669260700389,0.0071205937386887,0.000256859525360004,0.0092748437547,0.012888689845747,0.012794295002884,0.013422818791946,0.048468772606703,0.00368340906445896,0.034159551531031,0.0829075649584009,0.031829770029458
"2008-01-01",0.104466905369584,0,0.00648832188284598,0.00379311842896901,0.00895393735762101,0.00128877784389881,0.12814371257485,0.000277905347840002,0.021843496137169,0.032998212197847,0.015126904340934,0.00991319312736411,0.00991319312736411,0.03921568627451,0,0.014285714285715,0.023809523809524,0.0181818181818182,0.020408163265306,0.00526315789473697,0.0049825398177327,0,0,0.00191204588909999,0.00395100750691402,0,0,0.010073260073261,2.90188497839849e-05,0.121360529190986,0.075949367088608,0.00379311842896901,0.00895393735762101,0.109922178988327,0.00202972620870151,0.00787090974139801,0.004134689709135,0.053348519148647,0.0119553248387611,0.073825503355704,0.011333494092115,0.057201915569879,0.036400424275894,0.073536284276809,0.0301321822945541
"2009-01-01",0.104466905369584,0,0.014884770852302,0.016456353349385,0.00175912325297101,0.000260046016470288,0.126946107784431,0.000277905347840002,0.00504247693462401,0.00617297208120393,1.88413399270226e-05,0.036517125533652,0.036517125533652,0,0,0.014285714285714,0,0,0.010204081632653,0.01578947368421,0.0038327229367175,0.0277777777777779,0,0.00191204588910199,0.00355590675622297,0,0,0.021520146520147,0.00422569862866098,0.408610088574439,0.341772151898734,0.016456353349385,0.00175912325297101,0.020428015564202,0.00501392195607041,0.000655909145117012,0.0430861592476,0.156890924306337,0.0417912013004039,0.040268456375839,0.019532191945985,0.049057281845166,0.044505610793083,0.00237293225046298,0.010609923343153
