"","ind1.1.1","ind1.a.1(1)","ind1.a.2(1)","ind12.2.2(1)","ind12.2.2(2)","ind13.1.1(1)","ind14.1.1(2)","ind15.1.1","ind15.1.2(1)","ind15.1.2(2)","ind15.4.1","ind15.a.1(1)","ind15.b.1(1)","ind2.5.2","ind3.1.1","ind3.2.1","ind3.2.2","ind3.3.2","ind3.4.1","ind3.4.2","ind3.6.1(1)","ind3.b.1(1)","ind3.b.1(2)","ind6.1.1(1)","ind6.2.1(1)","ind7.1.1","ind7.1.2","ind7.2.1","ind7.3.1","ind8.1.1","ind8.2.1","ind8.4.2(1)","ind8.4.2(2)","ind8.5.2(1)","ind9.1.2(1)","ind9.1.2(2)","ind9.1.2(3)","ind9.2.1","ind9.2.2(1)","ind9.2.2(2)","ind9.4.1","ind9.5.1","ind9.5.2","ind9.c.1(1)","ind9.c.1(2)"
"2000-01-01",0.126464313092845,0,0.100961737438954,0,0,0.00622810558819744,0,0.00467823308484805,0,0,0,0,0,0,0,0.042857142857143,0.047619047619048,0,0,0,0.007388638105784,0,0,0,0,0,0,0,0.0083763803174482,0.131818877025638,0,0,0,0.082684824902724,0.00235771048222514,0.0085061783889408,0.0031420707540747,0.017102215960931,0.030779717896282,0,0.021702435495539,0.0083797872769304,0.00364494751740782,0.13148258049622,0.092650774167338
"2001-01-01",0.082118524311061,0,0.00276346466904001,0.001863926612552,0.008127149428724,0.00723492232512347,0.010778443113772,0.00395378213465897,0.018260167004909,8.39934594540348e-05,0.012811477827622,0,0,0.0588235294117641,0.0588235294117643,0.042857142857143,0.047619047619048,0.048484848484849,0.040816326530612,0.0105263157894737,0.00519546886977199,0,0.428571428571428,0.0420650095602292,0,0,0,0.011904761904761,0.0066615669297157,0.114161735505525,0.164556962025316,0.001863926612552,0.008127149428724,0.120622568093385,0.000676198105148899,0.000873781063948989,0.005339448170076,0.028556117618686,0.00272665303340103,0.02013422818792,0.014468290330359,0.0149577104600004,0.00142339611110451,0.097369864661194,0.043619970316494
"2002-01-01",0.064818874155535,0.142857142857143,0.036106972380873,0.012997892667901,0.018497181004987,0.00197358537737825,0.0275449101796407,0.00395378213466002,0.00733023985671399,0.032638025261786,1.42497528898833e-06,0,0,0.0196078431372551,0,0.042857142857143,0.047619047619047,0.024242424242425,0.030612244897959,0.0052631578947369,0.00713312324333501,0,0,0.0420650095602292,0.000395100750691046,0,0,0.01007326007326,0.00210022081760089,0.110669877739307,0.09493670886076,0.012997892667901,0.018497181004987,0.037937743190662,0.00307403563742744,0.001825537340954,0.0029874393559967,0.022301688451689,0.00739342457133896,0.00671140939597303,0.00361707258258998,0.0151284228945412,0.0171383723250117,0.029250104896263,0.00867767614586601
"2003-01-01",0.099418020530913,0,0.012034220401181,0.000616746257813994,0.002744232274634,0.00096576873488646,0.0766467065868264,0.00395378213465897,0.05332254289667,0.082562150714088,0.079393131524111,0,0,0.0196078431372551,0,0.028571428571428,0.047619047619048,0.024242424242425,0.020408163265306,0,0.008431990460779,0,0.214285714285715,0.0401529636711296,0,0,0,0.02930402930403,0.021637530529974,0.025374563657424,0.012658227848101,0.000616746257813994,0.002744232274634,0.033073929961089,0.00893726145156594,0.001683347246557,0.000466052844251101,0.044802054328419,0.00901892926432801,0.020134228187919,0.017120810224258,0.0086681217094214,0.0054319125661132,0.023963496276756,0.010609923343153
"2004-01-01",0.084604431500165,0.142857142857143,0.073055486576718,0.012697950454387,0.014345650127976,0.00125156231542895,0.150898203592814,0.00395378213465902,0.083473009706486,0.117962247539121,0.057826130531853,1.4579114808658e-05,1.4579114808658e-05,0,0,0.028571428571429,0.023809523809524,0.024242424242425,0.071428571428572,0.0105263157894737,0.009879908014649,0,0.142857142857143,0.042065009560229,0,0,0,0.013736263736264,0.00427641301616831,0.066476625288071,0.044303797468354,0.012697950454387,0.014345650127976,0.09727626459144,0.0004674057216211,0.00924694291297,0.000448088898775602,0.015536375155547,0.0487127051544231,0.040268456375839,0.00699300699300703,0.0033686198573445,0.0050856523276361,0.060394035485117,0.044561678041242
"2005-01-01",0.013947392996748,0.142857142857143,0.034319558259526,0.030220963381857,0.041436148223725,0.00147662276386512,0.232335329341318,0.00395378213466002,0.131243593364119,0.136452983566694,0.146564249998298,0.000110478636533436,0.000110478636533436,0,0,0.014285714285714,0.023809523809524,0.00909090909090901,0.020408163265306,0.0263157894736842,0.00638787156119601,0,0.071428571428571,0.042065009560229,0.000395100750691935,0,0,0.034798534798535,0.00461741799740151,0.027563582078722,0.151898734177215,0.030220963381857,0.041436148223725,0.013618677042801,0.000213659745165098,0.00191268610848699,0.000655390481334603,0.02303397847751,0.00807508782968902,0.026845637583893,0.00892211237038798,0.00228745617919311,0.0405377496546245,0.089939170976273,0.018673465083949
"2006-01-01",0.01115212641608,0,0.00561660182655999,0.004293617241599,0.00122259066081501,0.00093707009748584,0.184431137724551,0.00395378213465897,0.0411504366215759,0.11466434147965,0.040329333955466,0.00531736411975634,0.00531736411975634,0.0196078431372551,0.0588235294117647,0.028571428571429,0.023809523809523,0.015151515151516,0.040816326530612,0,0.00483348948130499,0,0.0714285714285721,0.04206500956023,0.000395100750691046,0,0,0.037087912087912,0.0140049836652424,0.071837340998258,0.050632911392405,0.004293617241599,0.00122259066081501,0.092412451361868,0.000654608289364002,0.000222458696071001,0.000283572033414402,0.00375062278750199,0.0331917571181379,0.026845637583892,0.022184711839884,0.0151170269916247,0.022280953596614,0.091753863730664,0.031723670796027
"2007-01-01",0.013755076028829,0,0.025255739039263,0.00532337916643399,0.010757038691916,0.00119718477681012,0.177245508982036,0.00395378213465902,0.0354323677111951,9.80835674729841e-05,0.0520752469284269,0.0402798760937366,0.0402798760937366,0.0196078431372551,0,0.014285714285714,0,0.0818181818181823,0.020408163265306,0,0.0052806404905886,0,0.071428571428571,0.00191204588910199,0.000395100750691935,0,0,0.055860805860806,0.0084231763290788,0.0314955398189289,0.044303797468355,0.00532337916643399,0.010757038691916,0.068093385214008,0.0012373755565556,0.000928822390812004,0.0040562119238026,0.02321100948934,0.00419485082061799,0,0.019532191945985,0.0173399968313058,0.0168874824436736,0.096790888000768,0.029707785360828
"2008-01-01",0.00885196827283102,0.142857142857143,0.036934718428387,0.0217404543688112,0.024636521157855,0.00117629992638289,0.0778443113772452,0.00395378213465897,6.00790574959431e-05,0,0,0.0195897125749091,0.0195897125749091,0.0196078431372551,0,0.014285714285714,0.023809523809524,0.0818181818181823,0.030612244897959,0.0105263157894737,0.0058129631206882,0,0.071428571428571,0.00573613766730399,0,0,0,0.095695970695971,0.00125963860135571,0.16030335787646,0.151898734177215,0.0217404543688112,0.024636521157855,0.062256809338522,0.0078975446852372,0.000587107486537994,0.0063617727847439,0.032169586446599,0.021813224267212,0.0738255033557049,0.011333494092115,0.011737056453201,0.00985569404016401,0.00290166540065007,0.039681113303392
"2009-01-01",0.099864536607443,0,0.010722760257154,0.0232643671229213,0.0147150660111,0.0425987664110959,0.026347305389222,0.00395378213466002,0.0667445612466581,0,0.0530355219423231,0.0052890850732728,0.0052890850732728,0.0196078431372549,0,0,0.023809523809524,0.00303030303030302,0.010204081632653,0.0052631578947368,0.00668597223405161,0,0,0.00573613766730499,0.000395100750691046,0,0,0.078754578754578,0.0056309788524976,0.253305566029146,0.126582278481013,0.0232643671229213,0.0147150660111,0.100194552529182,0.0027827948695008,0.003210744067004,0.0206414187134794,0.116463239643399,0.0202401552094801,0.040268456375839,0.037135278514589,0.0218314749004892,0.023111253618762,0.00623130152344908,0.045622670375557
