"","ind1.1.1","ind1.a.1.1","ind1.a.2.1","ind12.2.2.1","ind12.2.2.2","ind13.1.1.1","ind14.1.1.2","ind15.1.1","ind15.1.2.2","ind15.1.2.3","ind15.4.1","ind15.a.1.2","ind15.b.1.2","ind2.5.2","ind3.1.1","ind3.2.1","ind3.2.2","ind3.3.2","ind3.4.1","ind3.4.2","ind3.6.1.1","ind3.b.1.1","ind3.b.1.3","ind6.1.1.1","ind6.2.1.1","ind7.1.1","ind7.1.2","ind7.2.1","ind7.3.1","ind8.1.1","ind8.2.1","ind8.4.2.1","ind8.4.2.2","ind8.5.2.1","ind9.1.2.1","ind9.1.2.2","ind9.1.2.3","ind9.2.1","ind9.2.2.1","ind9.2.2.2","ind9.4.1","ind9.5.1","ind9.5.2","ind9.c.1.1","ind9.c.1.2"
"2000-01-01",0,0,0.017403360648953,0,0,0.00637129990950117,0,0.000358388455505954,0,0,0,0,0,0,0,0.028571428571428,0,0,0,0,0.014521761349119,0,0,0,0,0,0,0,0.00194675803801198,0.188129276149414,0,0,0,0,0.00345174047342479,0.00185993817024299,0.010483626858573,0.00576088971798905,0.025693461276283,0,0.00626959247648901,0.00923710286210999,0.023541095897697,0.048260604010837,0.091239505823772
"2001-01-01",0,0,0.071488804734708,0.009041313667545,0.013668387675582,0.00039058581465844,0.075449101796407,0.000435877851290956,0.00445046028142299,0,0.01603746355032,0,0,0.019607843137255,0.058823529411765,0.028571428571429,0.023809523809524,0.121212121212121,0.0306122448979591,0.036842105263158,0.013819095477387,0,0.714285714285714,0,0.0177795337811143,0,0,0.00915750915751,0.014064437098566,0.151106027233181,0.132911392405064,0.009041313667545,0.013668387675582,0.029182879377432,0.0014339995359899,0.00255712831050703,0.024842985960803,0.086488513566409,0.0416338943946311,0.0335570469798661,0.010851217747769,0.027612815425425,0.00768759258680496,0.038821165894501,0.0906227557543
"2002-01-01",0,0,0.00438877852274899,0.007140489401745,0.00976313405398802,0.00087687275241526,0.033532934131737,0.000435877851290067,0.0062740976133,5.33508944419725e-05,0.003741193454803,0,0,0,0,0.028571428571428,0,0.060606060606061,0.030612244897959,0.031578947368421,0.012946086364023,0,0.0714285714285721,0,0.0173844330304227,0,0,0.00961538461538498,0.00325226674159201,0.017270249008594,0.025316455696203,0.007140489401745,0.00976313405398802,0.038910505836576,0.0013397070911788,0.00725398820280909,0.013867907601981,0.024537779169672,0.0466152797441139,0.0536912751677849,0.01639739570774,0.0156063272675839,0.058604725062097,0.030260026780415,0.085538690140346
"2003-01-01",0,0,0.029028881439175,0.001736966945455,0.007247587802239,0.002803471072177,0.091017964071857,0.000435877851289956,0.00166838352983201,3.02321735159983e-05,0.00668345076449095,0.217823824048902,0.217823824048902,0.019607843137255,0.058823529411764,0.014285714285715,0.023809523809524,0.06060606060606,0.020408163265307,0.094736842105263,0.011093603611277,0,0.071428571428571,0,0.0173844330304226,0,0,0.021978021978022,0.016818110546342,0.088180155136856,0.025316455696202,0.001736966945455,0.007247587802239,0.00972762645914399,0.0055704306236037,0.00635956664128601,0.00175894030829002,0.0150282167938049,0.018771957422264,0.0402684563758391,0.00578731613214301,0.010720379114554,0.0520874535536731,0.026501649131696,0.0195335560794799
"2004-01-01",0,0,0.112214772507794,0.00161794225755299,0.00470565470169701,0.0152202382456163,0.137724550898203,0.000435877851290067,0.01013819224198,3.11897536740546e-05,0.00797542835944709,0.227194508754427,0.227194508754427,0,0,0.014285714285714,0.023809523809523,0.0303030303030311,0.010204081632653,0.078947368421053,0.012158248871476,0,0.142857142857143,0,0.0173844330304227,0,0,0.003205128205128,0.00558019965629397,0.053133474624211,0.006329113924051,0.00161794225755299,0.00470565470169701,0.058365758754864,0.002479957160157,0.000346301681513062,0.010066102717762,0.014725109054827,0.047716428084526,0.0335570469798659,0.017603086568604,0.00404762573937301,0.000172971983283032,0.023004025333217,0.148100352254247
"2005-01-01",0,0,0.03191909472174,0.001324149652914,0.00742350012753598,0.0133461755072085,0.27185628742515,0.000435877851290956,0.020316536329315,0.051579097557309,0.00205069777081601,0.212379151791617,0.212379151791617,0.07843137254902,0,0.028571428571429,0.023809523809524,0.0909090909090909,0.020408163265306,0.0105263157894739,0.00911336342730601,0,0.071428571428571,0.00956022944550905,0.0169893322797316,0,0,0.010989010989011,0.011325089652038,0.03198608924974,0.050632911392405,0.001324149652914,0.00742350012753598,0.029182879377432,0.000593984704437403,0.013879587923933,0.003733753231947,0.020713930607592,0.0241728278538099,0.013422818791946,0.00723414516518001,0.066571880188995,0.047900473484927,0.023968996555531,0.048032570910692
"2006-01-01",0,0,0.00682804265651193,0.001907767372595,0.001671167090323,0.00186303663916181,0.17245508982036,0.000435877851289956,0.010908512830671,0.010835840255384,0.010136165888657,0.031539416475911,0.031539416475911,0.03921568627451,0,0.014285714285714,0.023809523809524,0.0303030303030301,0.030612244897959,0.021052631578947,0.012136955966272,0,0,0.00956022944550594,0.0169893322797311,0,0,0.018772893772894,0.01233859260126,0.0183918988706681,0.012658227848101,0.001907767372595,0.001671167090323,0.029182879377432,0.000624752122548103,0.0107628727903201,0.001625373090167,0.002053307610278,0.0121126317445339,0.013422818791946,0.021461297323366,0.0380865546411721,0.00631198228624297,0.015905766438081,0.018718071535867
"2007-01-01",0,0,0.031082726319566,2.44000610200024e-05,0.004573720457723,0.00527688109794449,0.18682634730539,0.000435877851290067,0.00675606846811599,1.0396584556982e-05,0.00965230761289804,0.270844753555913,0.270844753555913,0.07843137254902,0.058823529411765,0.014285714285714,0,0.0303030303030299,0.010204081632653,0.057894736842105,0.010412230644749,0,0,0.00956022944550705,0.016989332279732,0,0,0.006410256410256,0.020131272435431,0.011237161319705,0.018987341772151,2.44000610200024e-05,0.004573720457723,0.019455252918287,0.00331291806824879,0.022099092735462,0.001055645972353,0.030642743890262,0.011483404121441,0,0.00819869785387001,0.019847502469168,0.00219170683870995,0.036261679950237,0.059571851497325
"2008-01-01",0,0.142857142857143,0.00983379549154295,0.0105231710319297,0.009842294600372,0.00016848773567294,0.020359281437126,0.000435877851290956,0.00420702113013199,0.00583891340370102,0.000670055046795959,0.419992042102096,0.419992042102096,0.07843137254902,0,0.014285714285714,0.0238095238095238,0,0.020408163265306,0.0315789473684209,0.00930499957414199,0,0,0.00764818355640595,0.016989332279731,0,0,0.00686813186813098,0.017943246130549,0.165684405868981,0.120253164556961,0.0105231710319297,0.009842294600372,0.00972762645914399,0.0031109049089416,0.00219935968589702,0.00615851015463201,0.0429498216329239,0.030779717896282,0.013422818791946,0.029659995177237,0.00213953555048196,0.051799703618717,0.014673287070175,0.011670915677468
"2009-01-01",0.123103794719596,0,0.00607876003642105,0.0264697019681328,0.01830367744716,0.00230138926202071,0.085029940119761,0.000435877851290067,0.00529692066575299,0.00204826395505497,0.010609891006807,0.055396062907425,0.055396062907425,0.235294117647059,0,0.014285714285715,0,0.0303030303030311,0.010204081632653,0.026315789473684,0.00706924452772301,0.388888888888889,0.0714285714285721,0.00956022944550605,0.01659423152904,0,0,0.003205128205129,0.005650074621385,0.263671507116749,0.208860759493671,0.0264697019681328,0.01830367744716,0.107003891050583,0.0111710406544947,0.0248144648606999,0.054311183012488,0.151315844588272,0.004981385349484,0.0604026845637581,0.000964552688690001,0.041622088298757,0.00233903204521702,0.02860735851581,0.027585800692197
