"","ind1.1.1","ind1.a.1(1)","ind1.a.2(1)","ind12.2.2(1)","ind12.2.2(2)","ind13.1.1(1)","ind14.1.1(2)","ind15.1.1","ind15.1.2(1)","ind15.1.2(2)","ind15.4.1","ind15.a.1(1)","ind15.b.1(1)","ind2.5.2","ind3.1.1","ind3.2.1","ind3.2.2","ind3.3.2","ind3.4.1","ind3.4.2","ind3.6.1(1)","ind3.b.1(1)","ind3.b.1(2)","ind6.1.1(1)","ind6.2.1(1)","ind7.1.1","ind7.1.2","ind7.2.1","ind7.3.1","ind8.1.1","ind8.2.1","ind8.4.2(1)","ind8.4.2(2)","ind8.5.2(1)","ind9.1.2(1)","ind9.1.2(2)","ind9.1.2(3)","ind9.2.1","ind9.2.2(1)","ind9.2.2(2)","ind9.4.1","ind9.5.1","ind9.5.2","ind9.c.1(1)","ind9.c.1(2)"
"2000-01-01",0,0,0.011451349226058,0,0,0.00926107642682066,0,0.00274681926020898,0,0,0,0,0,0,0,0.014285714285715,0.023809523809524,0,0,0,0.010412230644749,0,0,0,0,0,0,0,0.019274125861026,0.020013514877141,0,0,0,0.171206225680934,0.0033592870793503,0.01179260428038,0.006010057463121,0.00226431184961501,0.001048712705155,0,0.027007475283337,0.00491253859316398,0.043181294046076,0.079459507272539,0.0549870529188706
"2001-01-01",0.0269143696898607,0,0.012803334436995,0.010172643326058,0.017617619378501,0.0006855097742377,0.117365269461078,0.00364630584893899,0.033956415617997,0.016268055686843,0.013846643209462,0,0,0.137254901960784,0,0.028571428571428,0,0.03030303030303,0.030612244897959,0.036842105263158,0.007026658717315,0,0,0.00191204588910199,0,0,0,0.006410256410256,0.00967767113043599,0.121847631850779,0.094936708860759,0.010172643326058,0.017617619378501,0.156614785992218,0.0023220039938401,0.00441935986936901,0.009372670940126,0.02964704083423,0.012689423732368,0.020134228187919,0.00530503978779898,0.017123700785104,0.01720260427492,0.081679683984497,0.127509842401674
"2002-01-01",0.0269143696898606,0,0.020926454763678,0.00149653707589201,0.00332474294811499,0.0023050411815787,0.118562874251497,0.00364630584894005,0.000825789619499001,0,0.000446808918255992,0,0,0,0,0.014285714285715,0,0,0.020408163265306,0.01578947368421,0.011136189421685,0,0,0.00191204588909899,0,0,0,0.033424908424908,0.005904381426101,0.052044078905374,0.012658227848101,0.00149653707589201,0.00332474294811499,0.00875486381322998,0.0012915023389703,0.004600537570292,0.00481288148596799,0.029527846514842,0.033453935294426,0.046979865771812,0.01181577043646,0.013876592003679,0.031236394018332,0.013860173062899,0.040891667891617
"2003-01-01",0.0269143696898607,0,0.014614028915929,0.014906056789456,0.018972144283289,0.00269563837745107,0.091017964071856,0.00364630584893899,0.068903243421455,0.042649799393797,0.181679599372947,0.0176489722685918,0.0176489722685918,0,0.058823529411765,0.028571428571428,0.023809523809523,0,0.0204081632653059,0.015789473684211,0.013840388382591,0,0,0.00191204588910299,0.00158040300276499,0,0,0.00824175824175799,0.006540955989639,0.0180371278019951,0.107594936708861,0.014906056789456,0.018972144283289,0.037937743190661,0.0022583190017187,0.00466704584025199,0.000872672033602001,0.03256733845046,0.066855434953595,0.093959731543625,0.001446829033036,0.02069342215143,0.020110465727929,0.029320864957407,0.063235143125191
"2004-01-01",0.0573483502713886,0,0.019483072593329,0.012459305955142,0.008848389962442,0.00013487225466228,0.168862275449102,0.00364630584893999,0.161411608017461,0.084616296947248,0.066905598078754,0.0199390628490959,0.0199390628490959,0.019607843137255,0,0.028571428571429,0.023809523809524,0.060606060606061,0.061224489795918,0.031578947368421,0.0135848735201432,0,0.0714285714285721,0.034416826003825,0.00158040300276599,0,0,0.00183150183150199,0.00877095854099297,0.121488352868884,0.291139240506329,0.012459305955142,0.008848389962442,0.0583657587548631,0.0014172417791288,0.010127604142778,0.012137756571016,0.02713165581361,0.00991033506370903,0,0.012539184952978,0.00941165915279601,0.032245473926126,0.026073638610405,0.03193586926289
"2005-01-01",0.0013021931728502,0.142857142857143,0.000746695913692919,0.00670188342682401,0.011284775667807,0.00055060999731205,0.395209580838323,0.00364630584893899,0.046798165447314,0.00102119083847496,0.00999873493860498,0.0181462551873972,0.0181462551873972,0.313725490196079,0,0.014285714285714,0.023809523809524,0.00303030303030299,0.010204081632653,0.021052631578948,0.0070479516225193,0,0,0.036328871892925,0.00158040300276502,0,0,0.013278388278388,0.00790584175054299,0.072709342174036,0.158227848101266,0.00670188342682401,0.011284775667807,0.040856031128404,0.0043397019060928,0.00525644671540801,0.005124514845975,0.028870281636904,0.029154213203293,0.0201342281879189,0.00602845430431601,0.015890863065769,0.00440054986459304,0.033061096384597,0.039468914836529
"2006-01-01",0.0079158546559897,0.142857142857143,0.00541483872747794,0.003340427865981,0.00160959777646802,0.00190268780012141,0.438323353293413,0.00364630584893999,0.0963697824349959,0.090003779705675,0.117626168499528,0.0194515679003156,0.0194515679003156,0,0,0.014285714285714,0,0.00303030303030299,0.0306122448979601,0.0315789473684209,0.00851716208159439,0,0.071428571428571,0.036328871892925,0.00158040300276599,0,0,0.006410256410257,0.025909373256952,0.051815330148888,0.09493670886076,0.003340427865981,0.00160959777646802,0.00389105058365802,0.0077894268152131,0.00855663293856498,0.00780987813060299,0.034619028984303,0.000943841434639048,0.013422818791946,0.021461297323367,0.000303438526035038,0.026250683614547,0.033196449326966,0.042439693372612
"2007-01-01",0.00654772570304992,0,0.00222370526722404,0.00807324620593901,0.003834888691476,0.00228468404305863,0.493413173652695,0.00364630584893899,0.0347951430543331,0.045464401068496,0.00320065282867799,0.016486760726007,0.016486760726007,0,0,0.014285714285715,0.023809523809524,0.036363636363636,0.020408163265306,0.031578947368421,0.00619623541436,0,0,0.036328871892925,0.00158040300276599,0,0,0.043040293040293,0.021888040166618,0.00342902698137304,0.075949367088608,0.00807324620593901,0.003834888691476,0.076848249027237,0.0022211871662722,0.00485969048427201,0.00680840578205599,0.006464584804283,0.025011798017933,0.026845637583893,0.020979020979021,0.00957472909689,0.0381716619850271,0.03426926491269,0.203922726655398
"2008-01-01",0.00265571414350704,0.285714285714285,0.011002124548189,0.00450806005430301,0.00437142128363199,0.00113668771787906,0.247904191616767,0.00364630584893905,0.05340031850823,0.0692735372860511,0.04570909066152,0.0141676772668419,0.0141676772668419,0.058823529411765,0,0.014285714285714,0,0,0.020408163265306,0.015789473684211,0.00493995400732471,0,0,0.036328871892925,0.00158040300276602,0,0,0.052197802197802,0.001507025418548,0.129680771382295,0.113924050632911,0.00450806005430301,0.00437142128363199,0.058365758754864,0.000371342625081102,0.013787852379161,0.005569292743035,0.034818227377679,0.00629227623092599,0.073825503355705,0.00892211237038791,0.01424831550353,0.017381959200406,0.023197174563157,0.0486995481450709
"2009-01-01",0.0177830394701329,0,0.000626845183896996,0.021870588027584,0.015656196951439,0.00099133279223128,0.00598802395209597,0.00364630584893999,0.011942497203871,0.000954844213335915,0.00862173381809905,0.0114889716094465,0.0114889716094465,0,0,0,0,0.045454545454545,0.010204081632653,0.0105263157894729,0.00330040030661789,0,0.071428571428571,0.034416826003825,0.00158040300276599,0,0,0.032967032967033,0.00869944513333598,0.18975044143065,0.056962025316456,0.021870588027584,0.015656196951439,0.163424124513619,0.0031952750848121,0.00206404975735899,0.01026396442309,0.034124836547281,0.027686015416077,0.046979865771812,0.00868097419821559,0.057475055465148,0.0205929241520449,0.00364591708478501,0.00954893100883802
