"","ind1.1.1","ind1.a.1.1","ind1.a.2.1","ind12.2.2.1","ind12.2.2.2","ind13.1.1.1","ind14.1.1.2","ind15.1.1","ind15.1.2.2","ind15.1.2.3","ind15.4.1","ind15.a.1.2","ind15.b.1.2","ind2.5.2","ind3.1.1","ind3.2.1","ind3.2.2","ind3.3.2","ind3.4.1","ind3.4.2","ind3.6.1.1","ind3.b.1.1","ind3.b.1.3","ind6.1.1.1","ind6.2.1.1","ind7.1.1","ind7.1.2","ind7.2.1","ind7.3.1","ind8.1.1","ind8.2.1","ind8.4.2.1","ind8.4.2.2","ind8.5.2.1","ind9.1.2.1","ind9.1.2.2","ind9.1.2.3","ind9.2.1","ind9.2.2.1","ind9.2.2.2","ind9.4.1","ind9.5.1","ind9.5.2","ind9.c.1.1","ind9.c.1.2"
"2000-01-01",0.064012764346035,0,0.038969594128521,0,0,0.00167122855828641,0,9.27310063269515e-05,0,0,0,0,0,0,0,0.014285714285714,0,0,0,0,0.0023422195724384,0,0,0,0,0,0,0,0.027637849120574,0.050494946101134,0,0,0,0.07295719844358,0.0189376707424017,0.000114669430964416,0.000340822409418101,0.00343921273360492,0.022180273714016,0,0.014709428502532,0.042259399647103,0.063970881822729,0.035760658560808,0.160353712617745
"2001-01-01",0.000802004858209998,0,0.034634274204674,0.025343926795056,0.038419251844881,0.00135993668608385,0.0646706586826345,9.44637073110322e-05,0.00228404515863178,0.00458475699283172,0.00113554697438959,0,0,0.03921568627451,0.058823529411765,0,0.0238095238095229,0.00303030303030301,0.040816326530613,0.01578947368421,0.0014692104590751,0,0,0.0019120458891021,0.00039510075069199,0,0,0.023351648351648,0.039512187255326,0.224841618140797,0.139240506329114,0.025343926795056,0.038419251844881,0.037937743190661,0.0014518902893157,1.14669430964409e-05,0.0043747725569013,0.0653563926192841,0.00408997955010199,0.02013422818792,0.039787798408488,0.063207013744113,0.042505449724425,0.037203655641241,0.0944283177540599
"2002-01-01",0.000802004858209998,0.142857142857143,0.056290180172723,0.0223413306682381,0.00396682293544903,0.00301951279120275,0.059880239520958,9.44637073119758e-05,0.00480840654724916,0.00501772002079861,0.023107874270947,0,0,0,0,0.014285714285715,0,0.0151515151515151,0.020408163265306,0.01578947368421,0.0004684439144877,0,0.071428571428572,0,0,0,0,0.0109890109890111,0.0315859636914591,0.123308220174298,0.056962025316456,0.0223413306682381,0.00396682293544903,0.043774319066148,0.0188967537941315,9.8615710629398e-05,0.0030946359718079,0.021859441344749,0.00408997955010199,0.00671140939597298,0.0258017844224741,0.017256562542106,0.00264811595816195,0.022447394734601,0.0147827984487711
"2003-01-01",0.000802004858208999,0.142857142857143,0.044517217117788,0.0197725795288251,0.030758270078193,0.00361748835780883,0.02754491017964,9.44637073120314e-05,0.00538406504123076,0.0106465129786995,0.0270781720860324,0.0079247349548183,0.0079247349548183,0,0,0,0.0238095238095241,0.006060606060606,0.030612244897959,0.026315789473684,0.0011072310706072,0,0.214285714285715,0,0.017779533781114,0,0,0.027014652014652,0.040211501605345,0.035624402591819,0.012658227848101,0.0197725795288251,0.030758270078193,0.00972762645914405,0.013857846342512,0.000373822344943996,0.0019192068806692,0.06934193514495,0.018667086151749,0.033557046979865,0.011333494092115,0.00299305250135501,0.045684269949117,0.025815431905187,0.0276568949238409
"2004-01-01",0.000802004858209998,0,0.051729816792208,0.051887225695209,0.036422646952759,0.00454704064848487,0.027544910179641,9.44637073119758e-05,0.0003737095828922,0.0004285855186794,0,0.0563384302711851,0.0563384302711851,0.196078431372549,0,0,0,0.00909090909090911,0.040816326530612,0.036842105263158,0.0013840388382591,0,0,0,0.017779533781114,0,0,0.018315018315018,0.00902397929842502,0.00429405936606908,0.056962025316456,0.051887225695209,0.036422646952759,0.036964980544747,0.0053140402532572,4.5867772385766e-05,0.0037637870701996,0.024380957638857,0.00702637512453502,0.00671140939597398,0.040270074752834,0.010819053162816,0.043495035781711,0.031239738679867,0.018630637703977
"2005-01-01",0.000802825848466998,0.142857142857142,0.022782847722319,0.020577384793525,0.044285927893538,0.000883266556851528,0.120958083832335,9.44637073110322e-05,0.041141662699813,0.0295263001441979,0.0101136829452149,0.0944161905590887,0.0944161905590887,0,0.0588235294117641,0,0,0.00303030303030299,0.040816326530612,0.026315789473684,0.000404565198875799,0,0.142857142857142,0.0114722753346059,0.016199130778349,0,0,0.0187728937728939,0.0309569596814789,0.06555218287155,0.082278481012658,0.020577384793525,0.044285927893538,0.041828793774319,0.0049959440491705,0.000149070260253741,0.00304706086915,0.061052215659633,0.00933354307587403,0.046979865771812,0.04629852905715,0.010299363812415,0.036074606703658,0.035585071560921,0.060519390435943
"2006-01-01",0.000802877160359011,0.142857142857142,0.00675992605468601,0.04806752508594,0.036229143394932,0.00064380257160126,0.027544910179641,9.44637073119758e-05,0.001075920745016,0.000471266234232603,0.0092468229780116,0.0312521413705024,0.0312521413705024,0,0,0.014285714285714,0.0238095238095241,0.00303030303030311,0.040816326530613,0.052631578947368,0.0019376543735627,0,0.142857142857143,0.011472275334608,0.015408929276965,0,0,0.00320512820512797,0.043360041564065,0.055056779190353,0.075949367088607,0.04806752508594,0.036229143394932,0.042801556420233,0.0016516352492741,6.4214881340073e-05,0.000554980244925098,0.052475015590532,0.010959047768864,0.060402684563758,0.038099831203279,0.011683920794764,0.017732043453806,0.029482191431489,0.007851343273933
"2007-01-01",0.000802825848467997,0.142857142857142,0.022916494219574,0.058764075413249,0.052923223065624,0.00171695503954288,0.074251497005988,9.44637073119758e-05,0.000596031837736599,0.001315304743729,0.0057333089082013,0.0100213003892067,0.0100213003892067,0,0,0.014285714285714,0,0.00303030303030299,0.010204081632653,0.01578947368421,0.001511796269483,0,0.071428571428571,0.0114722753346089,0.015804030027658,0,0,0.00366300366300398,0.015638240641232,0.168049138021802,0.126582278481012,0.058764075413249,0.052923223065624,0.027237354085604,0.0059314836108807,6.880165857865e-06,0.0017221905374805,0.045113474763622,0.022757065701851,0.046979865771812,0.0171208102242589,0.014331749792734,0.0647751325402131,0.024690722300733,0.00848793867452302
"2008-01-01",9.89806379709801e-05,0.142857142857143,0.014331215683029,0.056107246004787,0.05674052052457,0.000600831965478919,0.015568862275449,9.44637073110322e-05,0.017179338812127,8.93285488981002e-05,0.0212383066923648,0.0120027210637329,0.0120027210637329,0.137254901960784,0.0588235294117649,0.014285714285715,0,0.00303030303030299,0.030612244897959,0,0.0025977344348863,0,0.142857142857143,0.011472275334608,0.015408929276965,0,0,0.00320512820512797,0.00153787617202106,0.365902400668149,0.310126582278481,0.056107246004787,0.05674052052457,0.00972762645914399,0.0017819155009693,0.000277500022933886,0.000967000359059701,0.08562816982834,0.002254732316082,0.053691275167785,0.039305522064143,0.018819474449446,0.0291001210200089,0.029322292540724,0.037134731701035
"2009-01-01",9.89293260800217e-05,0,0.00970704687801704,0.00105118636865809,0.044567387614013,0.0015408847853237,0.0562874251497,9.44637073119758e-05,0.0039576335573063,2.18875464374976e-05,0.00051014115330221,0.0372115632537117,0.0372115632537117,0.137254901960784,0,0.014285714285714,0,0.00303030303030299,0.040816326530612,0.026315789473684,0.00253385571927433,0,0.071428571428571,0.011472275334609,0.015408929276965,0,0,0.027014652014652,0.00930716871133597,0.244310120430152,0.050632911392405,0.00105118636865809,0.044567387614013,0.214007782101168,0.0012524089964994,0.000369235567705419,0.000979845167131801,0.036488561986548,0.058465733312359,0.060402684563759,0.0306245478659271,0.020655481030217,0.061322708360582,0.026822273135894,0.03819572403535
