"Indicator","Canada","France","Germany","Italy","Japan","United.Kingdom","United.States"
"SDG 1.1.1",14.6740539549033,0.86578132805141,0.238252457655834,-6.77391930376,-17.2113997765312,-7.70088528725146,16.8257456906794
"SDG 1.A.1.1.",14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143
"SDG 1.A.2.1.",14.4019421662491,-1.37803072447157,7.16729150853211,4.04717576649768,23.2210518042391,8.40436594507452,6.65196609226874
"SDG 2.5.2",16.4752254293367,11.2176411395146,8.06257417113064,-0.424775376007573,-13.6151822230015,8.92386285193607,-13.449622631394
"SDG 3.1.1",14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143
"SDG 3.2.1",8.98931436835662,8.98931436835662,11.332724588926,24.6229369594153,14.2857653928857,18.3092360453208,18.7899880777875
"SDG 3.2.2",-14.2857142857181,-14.2857142857282,-19.0078226783397,35.7142704642786,-11.5573856339421,18.3092779664562,18.309278248106
"SDG 3.3.2",-8.13396198594647,-7.70263384466818,2.81031552945152,14.0203412945526,47.4850776550141,27.1959347708619,-6.83254111494085
"SDG 3.4.1",16.7522340960709,9.05710846979426,14.2856810942525,12.7277084807156,7.9751172579459,23.8979370355478,12.6836594235603
"SDG 3.4.2",11.7753054928531,2.98872859762051,1.70075868149722,1.62594502924165,14.2856815578632,-1.14671048698679,1.62589693265165
"SDG 3.6.1.1.",-7.42687511290507,14.4466407040314,6.55856484925627,8.74798276264651,23.2502010936902,-4.16401739514633,35.2169110452091
"SDG 3.B.1.1.",-19.0078281073283,19.0078281073283,-18.10944403896,-18.10944403896,10.2363194951299,16.0382138585416,-2.64467973034536
"SDG 6.1.1.1.",7.32205027408878,58.9794468622799,-12.1272261203728,-1.61572120163436,3.69325019325425,-12.0481824052928,31.7597561707237
"SDG 6.2.1.1.",71.3300399896663,-10.4553998844729,-0.406693452960433,-17.2148451322885,79.4854991110207,-14.98100266765,-7.55544572233084
"SDG 7.1.1",NA,NA,NA,NA,NA,NA,NA
"SDG 7.1.2",NA,NA,NA,NA,NA,NA,NA
"SDG 7.2.1",-1.62237744872821,16.4537672888027,21.7111339827157,20.2967683261438,-0.0425287733673219,6.07142499606959,1.5315275807602
"SDG 7.3.1",26.4928490406721,8.52146739277711,4.85840338878412,-2.74008074493853,8.69269665627345,13.1464238829825,25.1634281484456
"SDG 8.1.1",2.08854704121973,-2.79046469490673,-3.84714330390641,-6.12135910285513,-3.68877769861979,-0.907854489552551,-0.0213826417913037
"SDG 8.2.1",3.28925145159731,1.40400563403745,-3.25444025384589,0.833786235735242,-9.89849176277374,-0.360046619688751,-10.3492401644998
"SDG 8.4.2.1.",14.7649544475233,3.76000517069019,7.97903562829598,7.89642952971495,1.48080206896005,5.13264097124226,6.92034586162868
"SDG 8.4.2.2.",14.2857142857144,3.41262165809209,3.04579416405331,7.82903788753742,1.70016804921918,10.824203106062,6.73561057826204
"SDG 8.5.2.1.",2.24453753005121,6.43978009740271,8.26511994872905,5.54401787047017,5.17427909702039,2.29985444859303,7.40503677063463
"SDG 9.1.2.1.",-4.60067115736202,6.66669551383579,1.36969574964464,8.87484405971218,0.207830728775541,-9.52876699731372,-80.5987188764654
"SDG 9.1.2.2.",-13.7418346644212,16.9157696549325,13.0832731447306,0.604499896270314,22.2543887438456,17.0228437097624,3.88721470655154
"SDG 9.1.2.3.",1.81116418796533,-3.41714660881227,-5.58795201414813,-1.87909731497808,-9.77218863918428,-7.10271294092344,-1.85872028968846
"SDG 9.2.1",-14.9744157102075,-4.23350040374593,-21.2953551797539,-8.21845435810667,-13.3530174670607,-4.42641513984588,-0.824843760352638
"SDG 9.2.2.1.",-1.25763202378025,-7.8530479912281,-14.2875505048335,-5.83619462570739,-17.3773462433561,-16.2420100890659,-2.76203662965573
"SDG 9.2.2.2.",-9.59667290131308,-11.8090332862627,-9.70638049416721,-12.1227628615574,-7.68884373216223,-19.0972842672792,4.47463896316124
"SDG 9.4.1",16.40651998526,-1.71464849505055,11.5647257460336,5.5367201571665,9.81980570370172,14.7803394348546,25.0554346383958
"SDG 9.5.1",8.67403376151049,-3.53770441163029,8.72276902039142,5.16273881384253,14.9166188204817,-1.69490238779627,4.99190083531687
"SDG 9.5.2",20.4302619246096,17.610701320573,22.249178247624,3.98411422574994,9.45104535382737,7.25089073255333,10.7673573103609
"SDG 9.C.1.1.",5.49409739851393,6.727141919477,17.2515132060489,18.3953341567372,7.82279801055069,1.10565945994748,8.4480758742383
"SDG 9.C.1.2.",8.47547273314343,11.7679964212523,9.74547817806158,11.2299892051306,9.8198907049336,13.745134483038,10.6322377675172
