Entity,Code,Year,"10.b.1 - Total assistance for development, by donor countries (millions of current United States dollars) - DC_TRF_TOTDL"
United Kingdom,GBR,2018,18950000000
United Kingdom,GBR,2019,18954000000
United States,USA,2000,25252000000
United States,USA,2001,38618000000
United States,USA,2002,24410000000
United States,USA,2003,37860000000
United States,USA,2004,32283000000
United States,USA,2005,113526000000
United States,USA,2006,90897000000
United States,USA,2007,129862000000
United States,USA,2008,13678000000
United States,USA,2009,115276000000
United States,USA,2010,216950000000
United States,USA,2011,166777000000
United States,USA,2012,167506000000
United States,USA,2013,151860000000
United States,USA,2014,238648000000
United States,USA,2015,38520000000
United States,USA,2016,71698000000
United States,USA,2017,172871000000
United States,USA,2018,50784000000
United States,USA,2019,148083000000
