Entity,Code,Year,10.a.1 - Proportion of tariff lines applied to imports with zero-tariff (%) - TM_TRF_ZERO - Total or no breakdown
Laos,LAO,2016,74.65753
Laos,LAO,2017,76.69903
Laos,LAO,2018,77.98602
Laos,LAO,2019,76.62483
Laos,LAO,2020,75.30761
Latin America and the Caribbean,,2005,56.38237
Latin America and the Caribbean,,2010,58.87009
Latin America and the Caribbean,,2015,63.72278
Latin America and the Caribbean,,2016,62.16552
Latin America and the Caribbean,,2017,62.98574
Latin America and the Caribbean,,2018,64.03953
Latin America and the Caribbean,,2019,63.16195
Latin America and the Caribbean,,2020,65.10135
Latvia,LVA,2005,34.89166
Latvia,LVA,2010,63.88522
Latvia,LVA,2015,65.75145
Latvia,LVA,2017,70.67652
Latvia,LVA,2018,70.90287
Latvia,LVA,2019,68.13292
Latvia,LVA,2020,72.24589
Least developed countries (LDCs),,2005,48.08718
Least developed countries (LDCs),,2010,53.72951
Least developed countries (LDCs),,2015,63.83259
Least developed countries (LDCs),,2016,60.44403
Least developed countries (LDCs),,2017,65.97545
Least developed countries (LDCs),,2018,67.31584
Least developed countries (LDCs),,2019,66.29508
Least developed countries (LDCs),,2020,63.86849
Lebanon,LBN,2005,56.0072
Lebanon,LBN,2010,51.45296
Lebanon,LBN,2015,55.49997
Lebanon,LBN,2016,47.48948
Lebanon,LBN,2017,51.11514
Lebanon,LBN,2018,54.0822
Lebanon,LBN,2019,50.75975
Lebanon,LBN,2020,48.20383
Lesotho,LSO,2005,37.93103
Lesotho,LSO,2010,45.83333
Lesotho,LSO,2015,87.2814
Lesotho,LSO,2016,89.5881
Lesotho,LSO,2017,87.54915
Lesotho,LSO,2018,88.41343
Lesotho,LSO,2019,88.05606
Lesotho,LSO,2020,86.09448
Liberia,LBR,2005,34.15698
Liberia,LBR,2010,55.6391
Liberia,LBR,2015,67.71005
Liberia,LBR,2016,59.80392
Liberia,LBR,2017,71.97509
Liberia,LBR,2018,75.65056
Liberia,LBR,2019,76.19461
Liberia,LBR,2020,76.9697
Libya,LBY,2005,73.67886
Libya,LBY,2010,76.61157
Libya,LBY,2015,55.08658
Libya,LBY,2016,67.84363
Libya,LBY,2017,52.14008
Libya,LBY,2018,52.26917
Libya,LBY,2019,56.79758
Libya,LBY,2020,63.79526
Liechtenstein,LIE,2016,0
Liechtenstein,LIE,2017,62.12121
Liechtenstein,LIE,2018,62.12121
Liechtenstein,LIE,2019,51.72414
Liechtenstein,LIE,2020,3.33333
Lithuania,LTU,2005,36.58559
Lithuania,LTU,2010,58.271
Lithuania,LTU,2015,59.67222
Lithuania,LTU,2017,65.47579
Lithuania,LTU,2018,65.60103
Lithuania,LTU,2019,62.97858
Lithuania,LTU,2020,66.3034
Luxembourg,LUX,2005,47.16252
Luxembourg,LUX,2010,66.43492
Luxembourg,LUX,2015,69.0087
Luxembourg,LUX,2017,69.94962
Luxembourg,LUX,2018,70.30715
Luxembourg,LUX,2019,66.70209
Luxembourg,LUX,2020,68.19771
Macao,MAC,2005,38.27961
Macao,MAC,2010,53.98399
Macao,MAC,2015,50.01048
Macao,MAC,2016,52.74617
Macao,MAC,2017,51.79935
Macao,MAC,2018,52.90774
Macao,MAC,2019,50.62232
Macao,MAC,2020,53.27739
Madagascar,MDG,2005,60.05729
Madagascar,MDG,2010,61.37813
Madagascar,MDG,2015,66.23423
Madagascar,MDG,2016,63.40371
Madagascar,MDG,2017,68.74254
Madagascar,MDG,2018,69.64101
Madagascar,MDG,2019,68.91324
Madagascar,MDG,2020,68.94678
Malawi,MWI,2005,65.73482
Malawi,MWI,2010,80.63616
Malawi,MWI,2015,85.75929
Malawi,MWI,2016,85.89744
Malawi,MWI,2017,85.38939
Malawi,MWI,2018,85.66434
Malawi,MWI,2019,88.16304
Malawi,MWI,2020,86.44918
Malaysia,MYS,2005,40.55281
Malaysia,MYS,2010,47.15475
Malaysia,MYS,2015,53.88959
Malaysia,MYS,2016,54.60469
Malaysia,MYS,2017,57.97512
Malaysia,MYS,2018,58.80222
Malaysia,MYS,2019,59.23021
Malaysia,MYS,2020,60.66822
Maldives,MDV,2005,42.5187
Maldives,MDV,2010,60.88889
Maldives,MDV,2015,47.34982
Maldives,MDV,2016,48.27969
Maldives,MDV,2017,52.81501
Maldives,MDV,2018,53.74211
Maldives,MDV,2019,55.86907
Maldives,MDV,2020,54.52563
Mali,MLI,2005,54.03938
Mali,MLI,2010,51.57035
Mali,MLI,2015,77.40916
Mali,MLI,2016,71.96519
Mali,MLI,2017,81.44166
Mali,MLI,2018,82.334
Mali,MLI,2019,85.05338
Mali,MLI,2020,79.5283
Malta,MLT,2005,47.75941
Malta,MLT,2010,59.6
Malta,MLT,2015,68.12057
Malta,MLT,2017,73.38163
Malta,MLT,2018,74.01016
Malta,MLT,2019,71.17605
Malta,MLT,2020,65.66081
Marshall Islands,MHL,2005,48
Marshall Islands,MHL,2010,42.07317
Marshall Islands,MHL,2015,54.32432
Marshall Islands,MHL,2016,32
Marshall Islands,MHL,2017,33.60324
Marshall Islands,MHL,2018,36.36364
Marshall Islands,MHL,2019,29.40199
Marshall Islands,MHL,2020,36.85152
Mauritania,MRT,2005,51.03093
Mauritania,MRT,2010,38.89876
Mauritania,MRT,2015,49.0818
Mauritania,MRT,2016,31.61157
Mauritania,MRT,2017,43.07469
Mauritania,MRT,2018,45.0631
Mauritania,MRT,2019,39.8121
Mauritania,MRT,2020,40.97222
Mauritius,MUS,2005,44.98106
Mauritius,MUS,2010,56.00415
Mauritius,MUS,2015,61.58525
Mauritius,MUS,2016,62.90342
Mauritius,MUS,2017,67.61003
Mauritius,MUS,2018,67.76892
Mauritius,MUS,2019,66.86198
Mauritius,MUS,2020,69.02135
Mayotte,MYT,2005,82.63889
Mayotte,MYT,2010,93.22034
Mayotte,MYT,2020,0
Mexico,MEX,2005,56.90903
Mexico,MEX,2010,57.6367
Mexico,MEX,2015,55.84627
Mexico,MEX,2016,55.45587
Mexico,MEX,2017,56.30847
Mexico,MEX,2018,56.32394
Mexico,MEX,2019,58.83216
Mexico,MEX,2020,60.56646
Micronesia (country),FSM,2005,24.67532
Micronesia (country),FSM,2010,20.94862
Micronesia (country),FSM,2015,56.36792
Micronesia (country),FSM,2016,46.95652
Micronesia (country),FSM,2017,41.10429
Micronesia (country),FSM,2018,41.71779
Micronesia (country),FSM,2019,35.26316
Micronesia (country),FSM,2020,34.30233
Middle Africa,,2005,64.86903
Middle Africa,,2010,61.96301
Middle Africa,,2015,62.53824
Middle Africa,,2016,48.34489
Middle Africa,,2017,55.70417
Middle Africa,,2018,57.11177
Middle Africa,,2019,55.87835
Middle Africa,,2020,50.39186
Moldova,MDA,2005,82.07473
Moldova,MDA,2010,72.77628
Moldova,MDA,2015,66.72935
Moldova,MDA,2016,52.42739
Moldova,MDA,2017,66.31891
Moldova,MDA,2018,67.05128
Moldova,MDA,2019,67.95342
Moldova,MDA,2020,69.65033
Mongolia,MNG,2005,49.80289
Mongolia,MNG,2010,45.64706
Mongolia,MNG,2015,50.18587
Mongolia,MNG,2016,33.49217
Mongolia,MNG,2017,45.29352
Mongolia,MNG,2018,44.21107
Mongolia,MNG,2019,42.28546
Mongolia,MNG,2020,43.53776
Montenegro,MNE,2010,89.04261
Montenegro,MNE,2015,88.58781
Montenegro,MNE,2016,85.55102
Montenegro,MNE,2017,86.87534
Montenegro,MNE,2018,87.19076
Montenegro,MNE,2019,83.71991
Montenegro,MNE,2020,85.24955
Montserrat,MSR,2005,60.99585
Montserrat,MSR,2010,49.31507
Montserrat,MSR,2015,54.00593
Montserrat,MSR,2016,54.13534
Montserrat,MSR,2017,69.28105
Montserrat,MSR,2018,71.71053
Montserrat,MSR,2019,73.4127
Montserrat,MSR,2020,70.1087
Morocco,MAR,2005,54.27136
Morocco,MAR,2010,49.81363
Morocco,MAR,2015,53.04378
Morocco,MAR,2016,43.46218
Morocco,MAR,2017,48.16917
Morocco,MAR,2018,49.05527
Morocco,MAR,2019,47.34663
Morocco,MAR,2020,46.43284
Mozambique,MOZ,2005,52.54902
Mozambique,MOZ,2010,58.19991
Mozambique,MOZ,2015,83.65679
Mozambique,MOZ,2016,82.23887
Mozambique,MOZ,2017,84.16226
Mozambique,MOZ,2018,85.49427
Mozambique,MOZ,2019,81.85053
Mozambique,MOZ,2020,80.57335
Myanmar,MMR,2005,39.04344
Myanmar,MMR,2010,38.60718
Myanmar,MMR,2015,69.19902
Myanmar,MMR,2016,63.52071
Myanmar,MMR,2017,64.38937
Myanmar,MMR,2018,66.05452
Myanmar,MMR,2019,61.98278
Myanmar,MMR,2020,61.81635
Namibia,NAM,2005,58.32021
Namibia,NAM,2010,28.2708
Namibia,NAM,2015,84.30733
Namibia,NAM,2016,59.51152
Namibia,NAM,2017,60.77494
Namibia,NAM,2018,67.86085
Namibia,NAM,2019,66.85437
Namibia,NAM,2020,62.88274
Nauru,NRU,2005,38.29787
Nauru,NRU,2010,66.51786
Nauru,NRU,2015,40
Nauru,NRU,2016,40.43321
Nauru,NRU,2017,42.63261
Nauru,NRU,2018,42.91339
Nauru,NRU,2019,40.82031
Nauru,NRU,2020,41.06529
Nepal,NPL,2005,51.73517
Nepal,NPL,2010,66.05191
Nepal,NPL,2015,77.80513
Nepal,NPL,2016,75.77382
Nepal,NPL,2017,77.73469
Nepal,NPL,2018,78.56996
Nepal,NPL,2019,79.59184
Nepal,NPL,2020,77.5374
Netherlands,NLD,2005,39.26412
Netherlands,NLD,2010,44.24371
Netherlands,NLD,2015,50.37085
Netherlands,NLD,2017,54.90822
Netherlands,NLD,2018,55.94329
Netherlands,NLD,2019,54.84473
Netherlands,NLD,2020,57.09891
New Caledonia,NCL,2005,69.50392
New Caledonia,NCL,2010,61.819
New Caledonia,NCL,2015,72.74725
New Caledonia,NCL,2016,49.58383
New Caledonia,NCL,2017,67.05491
New Caledonia,NCL,2018,67.85714
New Caledonia,NCL,2019,64.41368
New Caledonia,NCL,2020,56.03306
New Zealand,NZL,2005,40.20492
New Zealand,NZL,2010,41.47628
New Zealand,NZL,2015,48.73468
New Zealand,NZL,2016,43.24619
New Zealand,NZL,2017,47.15254
New Zealand,NZL,2018,47.24443
New Zealand,NZL,2019,52.84983
New Zealand,NZL,2020,52.60286
Nicaragua,NIC,2005,64.23473
Nicaragua,NIC,2010,71.08195
Nicaragua,NIC,2015,72.2512
Nicaragua,NIC,2016,67.28544
Nicaragua,NIC,2017,70.5072
Nicaragua,NIC,2018,66.56899
Nicaragua,NIC,2019,69.73662
Nicaragua,NIC,2020,73.50629
Niger,NER,2005,51.4719
Niger,NER,2010,56.16883
Niger,NER,2015,77.38542
Niger,NER,2016,76.74825
Niger,NER,2017,84.47581
Niger,NER,2018,85.66622
Niger,NER,2019,79.95241
Niger,NER,2020,69.62963
Nigeria,NGA,2005,34.86438
Nigeria,NGA,2010,31.83998
Nigeria,NGA,2015,55.66611
Nigeria,NGA,2016,52.68444
Nigeria,NGA,2017,58.15487
Nigeria,NGA,2018,60.32487
Nigeria,NGA,2019,59.01235
Nigeria,NGA,2020,59.02311
Niue,NIU,2005,57.14286
Niue,NIU,2010,31.97674
Niue,NIU,2015,50
Niue,NIU,2016,51.57895
Niue,NIU,2017,33.93502
Niue,NIU,2018,35.01805
Niue,NIU,2019,57.14286
Niue,NIU,2020,60.43956
Norfolk Island,NFK,2005,34.09091
Norfolk Island,NFK,2010,31.03448
Norfolk Island,NFK,2015,56.75676
Norfolk Island,NFK,2016,30.26316
Norfolk Island,NFK,2017,47.94521
Norfolk Island,NFK,2018,50.70423
Norfolk Island,NFK,2019,43.85965
Norfolk Island,NFK,2020,39.56044
North Korea,PRK,2005,18.06179
North Korea,PRK,2010,21.2363
North Korea,PRK,2015,28.16251
North Korea,PRK,2016,20.80408
North Korea,PRK,2017,22.40583
North Korea,PRK,2018,22.78667
North Korea,PRK,2019,31.74564
North Korea,PRK,2020,25.59501
North Macedonia,MKD,2005,83.42255
North Macedonia,MKD,2010,76.56935
North Macedonia,MKD,2015,70.98678
North Macedonia,MKD,2016,61.79893
North Macedonia,MKD,2017,73.20934
North Macedonia,MKD,2018,73.48055
North Macedonia,MKD,2019,72.16232
North Macedonia,MKD,2020,73.74529
Northern Africa,,2005,62.85581
Northern Africa,,2010,59.08783
Northern Africa,,2015,59.74153
Northern Africa,,2016,54.3555
Northern Africa,,2017,58.00267
Northern Africa,,2018,58.84638
Northern Africa,,2019,56.55873
Northern Africa,,2020,57.15573
Northern Africa and Western Asia,,2005,47.64752
Northern Africa and Western Asia,,2010,49.27476
Northern Africa and Western Asia,,2015,50.98686
Northern Africa and Western Asia,,2016,50.26807
Northern Africa and Western Asia,,2017,52.11597
Northern Africa and Western Asia,,2018,53.25376
Northern Africa and Western Asia,,2019,51.44938
Northern Africa and Western Asia,,2020,52.14183
Northern America,,2005,33.73668
Northern America,,2010,38.45865
Northern America,,2015,41.29298
Northern America,,2016,42.33631
Northern America,,2017,43.26184
Northern America,,2018,44.38622
Northern America,,2019,44.39672
Northern America,,2020,45.28391
Northern Europe,,2005,40.87023
Northern Europe,,2010,48.67903
Northern Europe,,2015,54.83578
Northern Europe,,2016,58.88275
Northern Europe,,2017,58.87368
Northern Europe,,2018,59.77431
Northern Europe,,2019,59.25766
Northern Europe,,2020,61.09485
Northern Mariana Islands,MNP,2005,17.95918
Northern Mariana Islands,MNP,2010,21.40468
Northern Mariana Islands,MNP,2015,22.1875
Northern Mariana Islands,MNP,2016,10.84142
Northern Mariana Islands,MNP,2017,51.30435
Northern Mariana Islands,MNP,2018,52.54237
Northern Mariana Islands,MNP,2019,39.65517
Northern Mariana Islands,MNP,2020,45.08671
Norway,NOR,2005,48.56487
Norway,NOR,2010,51.13917
Norway,NOR,2015,60.93544
Norway,NOR,2016,57.12458
Norway,NOR,2017,62.01137
Norway,NOR,2018,63.52269
Norway,NOR,2019,63.95224
Norway,NOR,2020,64.72086
Oceania,,2005,40.82014
Oceania,,2010,41.60095
Oceania,,2015,48.25494
Oceania,,2016,45.39953
Oceania,,2017,49.65282
Oceania,,2018,50.48682
Oceania,,2019,53.77898
Oceania,,2020,54.79238
Oceania (exc. Australia and New Zealand),,2005,48.23476
Oceania (exc. Australia and New Zealand),,2010,46.29082
Oceania (exc. Australia and New Zealand),,2015,53.42016
Oceania (exc. Australia and New Zealand),,2016,44.24988
Oceania (exc. Australia and New Zealand),,2017,49.04828
Oceania (exc. Australia and New Zealand),,2018,51.34204
Oceania (exc. Australia and New Zealand),,2019,53.95431
Oceania (exc. Australia and New Zealand),,2020,56.81289
Oman,OMN,2005,62.80541
Oman,OMN,2010,64.90519
Oman,OMN,2015,60.85065
Oman,OMN,2016,68.44437
Oman,OMN,2017,61.92714
Oman,OMN,2018,62.86658
Oman,OMN,2019,59.98357
Oman,OMN,2020,60.32162
Pakistan,PAK,2005,24.1142
Pakistan,PAK,2010,26.00058
Pakistan,PAK,2015,32.22062
Pakistan,PAK,2016,27.43763
Pakistan,PAK,2017,32.67382
Pakistan,PAK,2018,33.44994
Pakistan,PAK,2019,32.11145
Pakistan,PAK,2020,33.63142
Palau,PLW,2005,37.62376
Palau,PLW,2010,18.26087
Palau,PLW,2015,70.38462
Palau,PLW,2016,31.64557
Palau,PLW,2017,55.31915
Palau,PLW,2018,56.25
Palau,PLW,2019,55.08475
Palau,PLW,2020,45.97701
Palestine,PSE,2005,74.86034
Palestine,PSE,2010,75.48638
Palestine,PSE,2015,86.09551
Palestine,PSE,2016,87.13043
Palestine,PSE,2017,78.18182
Palestine,PSE,2018,77.66854
Palestine,PSE,2019,86.49068
Palestine,PSE,2020,85.77982
Panama,PAN,2005,29.42407
Panama,PAN,2010,39.22234
Panama,PAN,2015,40.5439
Panama,PAN,2016,38.67939
Panama,PAN,2017,43.36935
Panama,PAN,2018,40.03108
Panama,PAN,2019,49.23341
Panama,PAN,2020,48.7349
Papua New Guinea,PNG,2005,66.69167
Papua New Guinea,PNG,2010,57.61317
Papua New Guinea,PNG,2015,74.92241
Papua New Guinea,PNG,2016,73.36652
Papua New Guinea,PNG,2017,73.53993
Papua New Guinea,PNG,2018,74.19547
Papua New Guinea,PNG,2019,81.20347
Papua New Guinea,PNG,2020,77.2459
Paraguay,PRY,2005,63.57196
Paraguay,PRY,2010,68.55011
Paraguay,PRY,2015,76.29052
Paraguay,PRY,2016,72.20544
Paraguay,PRY,2017,70.73384
Paraguay,PRY,2018,75.57549
Paraguay,PRY,2019,67.23793
Paraguay,PRY,2020,67.53794
Peru,PER,2005,61.04595
Peru,PER,2010,62.8136
Peru,PER,2015,77.17014
Peru,PER,2016,73.27539
Peru,PER,2017,75.35781
Peru,PER,2018,75.76139
Peru,PER,2019,71.87214
Peru,PER,2020,74.85419
Philippines,PHL,2005,46.22979
Philippines,PHL,2010,52.45275
Philippines,PHL,2015,61.28746
Philippines,PHL,2016,56.31972
Philippines,PHL,2017,61.17219
Philippines,PHL,2018,62.13985
Philippines,PHL,2019,61.65777
Philippines,PHL,2020,63.41354
Pitcairn,PCN,2005,64
Pitcairn,PCN,2010,39.80583
Pitcairn,PCN,2015,68.05556
Pitcairn,PCN,2016,45.91837
Pitcairn,PCN,2017,48.03922
Pitcairn,PCN,2018,50.49505
Pitcairn,PCN,2019,40.36145
Pitcairn,PCN,2020,53.27103
Poland,POL,2005,38.06696
Poland,POL,2010,48.66256
Poland,POL,2015,54.40709
Poland,POL,2017,58.70632
Poland,POL,2018,59.13875
Poland,POL,2019,58.32866
Poland,POL,2020,60.93007
Portugal,PRT,2005,31.53126
Portugal,PRT,2010,39.01386
Portugal,PRT,2015,47.49402
Portugal,PRT,2017,52.21484
Portugal,PRT,2018,53.38378
Portugal,PRT,2019,52.7671
Portugal,PRT,2020,55.17297
Puerto Rico,PRI,2016,0
Puerto Rico,PRI,2017,5.12821
Puerto Rico,PRI,2018,5.12821
Puerto Rico,PRI,2019,28.28685
Puerto Rico,PRI,2020,11.11111
Qatar,QAT,2005,66.34383
Qatar,QAT,2010,59.2034
Qatar,QAT,2015,52.6885
Qatar,QAT,2016,61.4923
Qatar,QAT,2017,51.14112
Qatar,QAT,2018,51.95918
Qatar,QAT,2019,56.72976
Qatar,QAT,2020,56.70603
Romania,ROU,2005,50.47785
Romania,ROU,2010,50.44096
Romania,ROU,2015,59.10828
Romania,ROU,2017,62.57245
Romania,ROU,2018,63.18756
Romania,ROU,2019,62.48703
Romania,ROU,2020,66.54882
Russia,RUS,2005,67.67904
Russia,RUS,2010,68.28589
Russia,RUS,2015,60.20584
Russia,RUS,2016,67.95758
Russia,RUS,2017,61.64381
Russia,RUS,2018,62.16591
Russia,RUS,2019,61.97587
Russia,RUS,2020,64.69132
Rwanda,RWA,2005,41.04235
Rwanda,RWA,2010,63.00505
Rwanda,RWA,2015,91.12426
Rwanda,RWA,2016,86.21399
Rwanda,RWA,2017,86.06174
Rwanda,RWA,2018,87.1334
Rwanda,RWA,2019,85.08557
Rwanda,RWA,2020,70.16854
Saint Helena,SHN,2005,42.6506
Saint Helena,SHN,2010,33.63914
Saint Helena,SHN,2015,66.35945
Saint Helena,SHN,2016,49.29078
Saint Helena,SHN,2017,58.95062
Saint Helena,SHN,2018,59.5679
Saint Helena,SHN,2019,62.3494
Saint Helena,SHN,2020,55.22388
Saint Kitts and Nevis,KNA,2005,60.21898
Saint Kitts and Nevis,KNA,2010,67.52577
Saint Kitts and Nevis,KNA,2015,82.32119
Saint Kitts and Nevis,KNA,2016,80.65099
Saint Kitts and Nevis,KNA,2017,75.22124
Saint Kitts and Nevis,KNA,2018,76.32509
Saint Kitts and Nevis,KNA,2019,71.85741
Saint Kitts and Nevis,KNA,2020,77.27273
Saint Lucia,LCA,2005,84.86547
Saint Lucia,LCA,2010,91.48376
Saint Lucia,LCA,2015,82.46546
Saint Lucia,LCA,2016,93.33333
Saint Lucia,LCA,2017,88.228
Saint Lucia,LCA,2018,89.50695
Saint Lucia,LCA,2019,93.28622
Saint Lucia,LCA,2020,95.33187
Saint Pierre and Miquelon,SPM,2005,68.14159
Saint Pierre and Miquelon,SPM,2010,75.55556
Saint Pierre and Miquelon,SPM,2015,80.51948
Saint Pierre and Miquelon,SPM,2016,38.77551
Saint Pierre and Miquelon,SPM,2017,74.28571
Saint Pierre and Miquelon,SPM,2018,74.28571
Saint Pierre and Miquelon,SPM,2019,71.25
Saint Pierre and Miquelon,SPM,2020,80.28169
Saint Vincent and the Grenadines,VCT,2005,89.9654
Saint Vincent and the Grenadines,VCT,2010,64.02062
Saint Vincent and the Grenadines,VCT,2015,78.94737
Saint Vincent and the Grenadines,VCT,2016,52.04082
Saint Vincent and the Grenadines,VCT,2017,49.65675
Saint Vincent and the Grenadines,VCT,2018,50.87988
Saint Vincent and the Grenadines,VCT,2019,47.96643
Saint Vincent and the Grenadines,VCT,2020,50.87153
Samoa,WSM,2005,57.71605
Samoa,WSM,2010,43.09623
Samoa,WSM,2015,76.76768
Samoa,WSM,2016,78.14727
Samoa,WSM,2017,75.30435
Samoa,WSM,2018,75.64767
Samoa,WSM,2019,73.95105
Samoa,WSM,2020,62.87879
San Marino,SMR,2016,22.48062
San Marino,SMR,2017,21.47887
San Marino,SMR,2018,21.47887
San Marino,SMR,2019,11.16071
San Marino,SMR,2020,13.64393
Sao Tome and Principe,STP,2005,39.34426
Sao Tome and Principe,STP,2010,40.58355
Sao Tome and Principe,STP,2015,69.63563
Sao Tome and Principe,STP,2016,48.07692
Sao Tome and Principe,STP,2017,69.90291
Sao Tome and Principe,STP,2018,72.72727
Sao Tome and Principe,STP,2019,66.17336
Sao Tome and Principe,STP,2020,59.32203
Saudi Arabia,SAU,2005,64.12067
Saudi Arabia,SAU,2010,59.18143
Saudi Arabia,SAU,2015,63.41723
Saudi Arabia,SAU,2016,68.33451
Saudi Arabia,SAU,2017,63.17245
Saudi Arabia,SAU,2018,63.79431
Saudi Arabia,SAU,2019,59.51818
Saudi Arabia,SAU,2020,60.93462
Senegal,SEN,2005,41.67818
Senegal,SEN,2010,40.37193
Senegal,SEN,2015,62.13633
Senegal,SEN,2016,53.18599
Senegal,SEN,2017,72.12601
Senegal,SEN,2018,75.7741
Senegal,SEN,2019,78.98219
Senegal,SEN,2020,77.18257
Serbia,SRB,2005,21.37681
Serbia,SRB,2010,81.43663
Serbia,SRB,2015,78.94058
Serbia,SRB,2016,75.42369
Serbia,SRB,2017,77.89299
Serbia,SRB,2018,78.27605
Serbia,SRB,2019,74.78928
Serbia,SRB,2020,75.3705
Seychelles,SYC,2005,56.40719
Seychelles,SYC,2010,58.35749
Seychelles,SYC,2015,60.49679
Seychelles,SYC,2016,47.91252
Seychelles,SYC,2017,58.83293
Seychelles,SYC,2018,64.27962
Seychelles,SYC,2019,59.37743
Seychelles,SYC,2020,53.15956
Sierra Leone,SLE,2005,53.70867
Sierra Leone,SLE,2010,62.62554
Sierra Leone,SLE,2015,70.07958
Sierra Leone,SLE,2016,68.37428
Sierra Leone,SLE,2017,76.07536
Sierra Leone,SLE,2018,77.04505
Sierra Leone,SLE,2019,76.45768
Sierra Leone,SLE,2020,71.997
Singapore,SGP,2005,37.40033
Singapore,SGP,2010,50.15243
Singapore,SGP,2015,60.17366
Singapore,SGP,2016,62.06277
Singapore,SGP,2017,66.39672
Singapore,SGP,2018,67.27161
Singapore,SGP,2019,68.52493
Singapore,SGP,2020,72.84185
Slovakia,SVK,2005,41.49804
Slovakia,SVK,2010,57.5741
Slovakia,SVK,2015,63.66565
Slovakia,SVK,2017,66.84047
Slovakia,SVK,2018,67.17699
Slovakia,SVK,2019,65.91904
Slovakia,SVK,2020,68.42323
Slovenia,SVN,2005,46.65598
Slovenia,SVN,2010,59.17693
Slovenia,SVN,2015,68.66214
Slovenia,SVN,2017,72.09565
Slovenia,SVN,2018,72.40756
Slovenia,SVN,2019,70.29386
Slovenia,SVN,2020,71.69243
Small Island Developing States (SIDS),,2005,46.24905
Small Island Developing States (SIDS),,2010,54.01072
Small Island Developing States (SIDS),,2015,62.26957
Small Island Developing States (SIDS),,2016,62.09503
Small Island Developing States (SIDS),,2017,65.43223
Small Island Developing States (SIDS),,2018,66.50239
Small Island Developing States (SIDS),,2019,67.1659
Small Island Developing States (SIDS),,2020,70.57532
Solomon Islands,SLB,2005,66.43599
Solomon Islands,SLB,2010,65.19608
Solomon Islands,SLB,2015,66.93767
Solomon Islands,SLB,2016,61.73913
Solomon Islands,SLB,2017,67.62115
Solomon Islands,SLB,2018,71.46172
Solomon Islands,SLB,2019,81.63772
Solomon Islands,SLB,2020,84.10405
Somalia,SOM,2005,36.0424
Somalia,SOM,2010,31.56966
Somalia,SOM,2015,56.32754
Somalia,SOM,2016,43.25658
Somalia,SOM,2017,56.56743
Somalia,SOM,2018,56.86957
Somalia,SOM,2019,55.80286
Somalia,SOM,2020,52.55814
South Africa,ZAF,2005,45.74235
South Africa,ZAF,2010,51.53818
South Africa,ZAF,2015,59.02076
South Africa,ZAF,2016,61.56996
South Africa,ZAF,2017,60.75952
South Africa,ZAF,2018,61.39849
South Africa,ZAF,2019,60.98848
South Africa,ZAF,2020,59.93987
South America,,2005,55.54154
South America,,2010,59.48956
South America,,2015,67.00151
South America,,2016,64.92509
South America,,2017,64.87934
South America,,2018,67.20053
South America,,2019,63.67371
South America,,2020,65.25643
South Georgia and the South Sandwich Islands,SGS,2016,10
South Georgia and the South Sandwich Islands,SGS,2017,20
South Georgia and the South Sandwich Islands,SGS,2018,0
South Georgia and the South Sandwich Islands,SGS,2019,27.27273
South Georgia and the South Sandwich Islands,SGS,2020,44.82759
South Korea,KOR,2005,28.8659
South Korea,KOR,2010,33.81901
South Korea,KOR,2015,43.80521
South Korea,KOR,2016,43.57564
South Korea,KOR,2017,49.92384
South Korea,KOR,2018,51.03072
South Korea,KOR,2019,53.17982
South Korea,KOR,2020,55.86198
South Sudan,SSD,2016,25
South Sudan,SSD,2017,39.78495
South Sudan,SSD,2018,39.78495
South Sudan,SSD,2019,42.66667
South Sudan,SSD,2020,31.89964
South-eastern Asia,,2005,37.96605
South-eastern Asia,,2010,45.36581
South-eastern Asia,,2015,54.11293
South-eastern Asia,,2016,52.59014
South-eastern Asia,,2017,57.28907
South-eastern Asia,,2018,58.17446
South-eastern Asia,,2019,58.44967
South-eastern Asia,,2020,60.69132
Southern Africa,,2005,45.20991
Southern Africa,,2010,49.43465
Southern Africa,,2015,61.68849
Southern Africa,,2016,62.8741
Southern Africa,,2017,62.08321
Southern Africa,,2018,63.08266
Southern Africa,,2019,62.45659
Southern Africa,,2020,61.16482
Southern Asia,,2005,30.06858
Southern Asia,,2010,33.31594
Southern Asia,,2015,35.24281
Southern Asia,,2016,34.89987
Southern Asia,,2017,37.19647
Southern Asia,,2018,38.43832
Southern Asia,,2019,38.70462
Southern Asia,,2020,38.69305
Southern Europe,,2005,39.81189
Southern Europe,,2010,46.40088
Southern Europe,,2015,53.52983
Southern Europe,,2016,65.77524
Southern Europe,,2017,57.95475
Southern Europe,,2018,58.66365
Southern Europe,,2019,58.26866
Southern Europe,,2020,60.14539
Spain,ESP,2005,34.8013
Spain,ESP,2010,40.2946
Spain,ESP,2015,48.24645
Spain,ESP,2017,53.23919
Spain,ESP,2018,54.1741
Spain,ESP,2019,54.05375
Spain,ESP,2020,55.93484
Sri Lanka,LKA,2005,34.14416
Sri Lanka,LKA,2010,33.08859
Sri Lanka,LKA,2015,30.01164
Sri Lanka,LKA,2016,33.66337
Sri Lanka,LKA,2017,38.94524
Sri Lanka,LKA,2018,43.15248
Sri Lanka,LKA,2019,41.33091
Sri Lanka,LKA,2020,41.23177
Sub-Saharan Africa,,2005,47.91468
Sub-Saharan Africa,,2010,52.72155
Sub-Saharan Africa,,2015,65.1361
Sub-Saharan Africa,,2016,64.00497
Sub-Saharan Africa,,2017,66.70773
