Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,,,,,,,
2000,98.17,96.44,99.82,94.77,97.85,100,
2001,98.18,96.45,99.82,94.99,97.85,100,
2002,98.18,96.46,99.82,95.21,97.85,100,
2003,98.18,96.47,99.82,95.42,97.85,100,
2004,98.18,96.65,99.84,95.64,97.85,100,
2005,98.24,96.84,99.85,95.86,97.9,100,95.24
2006,98.3,97.03,99.86,96.08,97.95,100,95.25
2007,98.36,97.22,99.87,96.09,98,99.99,95.26
2008,98.42,97.41,99.88,96.06,98.04,99.98,95.27
2009,98.48,97.59,99.89,96.03,98.09,99.96,95.28
2010,98.54,97.78,99.9,96,98.14,99.95,95.47
2011,98.6,97.97,99.91,95.97,98.19,99.93,95.66
2012,98.65,98.15,99.93,95.94,98.23,99.92,95.85
2013,98.71,98.34,99.94,95.91,98.28,99.9,96.04
2014,98.76,98.53,99.95,95.88,98.33,99.89,96.23
2015,98.82,98.71,99.96,95.82,98.38,99.87,96.41
2016,98.87,98.89,99.97,95.82,98.42,99.85,96.6
2017,98.93,99.07,99.98,95.82,98.47,99.84,96.78
2018,98.98,99.25,99.99,95.82,98.52,99.82,96.97
2019,99.04,99.25,99.99,95.82,98.57,99.82,97.15
2020,99.04,99.25,99.99,95.82,98.57,99.82,97.33
