Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,,,,,,,
2000,47.99,14.15,18.72,12.99,13.21,13.67,30.66
2001,46.71,13.63,16.28,12.9,12.76,13.75,29.96
2002,47.84,13.56,15.68,13.55,12.4,13.31,28.91
2003,46.84,12.81,15.32,13.58,12.31,13.07,28.73
2004,49.46,13.43,15.64,14.22,12.39,13.48,30.04
2005,48.42,13.1,15.06,12.7,12.32,13.15,30.6
2006,50.85,13.27,15.5,12.92,12.42,12.99,30.01
2007,53.81,13.67,16.6,12.65,12.42,12.63,28.33
2008,50.98,13.45,16.41,11.55,11.89,11.9,26.37
2009,50.93,12.34,15.58,10.38,10.56,10.22,23.51
2010,52.6,11.96,15.65,10.65,10.88,9.87,23.54
2011,55.08,12.23,16.28,10.52,10.74,9.98,23.19
2012,55.34,11.77,15.81,8.76,11.51,9.51,23.15
2013,57.53,11.73,15.66,8.71,11.8,9.57,23.34
2014,56.29,11.85,15.84,7.77,11.48,10.66,23.88
2015,56.62,10.99,15.48,7.75,11.18,10.54,24.16
2016,54.85,10.84,15.66,7.48,11.07,10.42,24.33
2017,57.43,11.44,15.84,7.7,11.01,10.44,24.1
2018,55.97,11.07,15.1,7.54,10.88,10.4,24.19
2019,57.05,11.02,15,7.12,10.95,10.12,23.75
2020,,,,,,,
