Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,24602000,49536300,54652800,28281000,105994496,65738296,634364608
2000,41767976,52581312,57962864,30418136,109123312,70436032,665327424
2001,40451912,50476540,56389364,31031074,107823472,70331728,622187840
2002,23323028,49305864,61889680,28244628,109037840,72381200,598410432
2003,35884416,47258820,72693120,36345772,103988544,76388656,588997120
2004,40701308,48543472,82099656,35922092,101740600,86054760,678110592
2005,45229860,52477176,90788848,36115764,102279016,93602880,720547712
2006,46726976,59537872,99647312,36709132,102845320,97544632,725530944
2007,52103548,61551256,106101744,37830744,99842336,101622808,744302336
2008,53718756,61214656,107941584,30672048,97022472,104713552,701779520
2009,52583516,58318312,103396736,33194500,86896528,102464512,679423424
2010,63277408,60864424,97330736,32645164,109617024,101515720,720497024
2011,66078012,64185340,107042776,33923372,89788816,111598544,730796032
2012,70467400,64683768,105978472,31072962,98907856,115419920,736699008
2013,71526728,63925152,109062320,27846220,107573000,118605864,743171008
2014,75528608,63434264,112353096,27193940,110547000,124901680,762710016
2015,80228304,65039504,117222848,28603920,114128000,131512992,798222016
2016,85406424,65362744,116713584,29120040,117708000,143781712,824038976
2017,91404000,68316472,114160688,26288000,123898000,151159072,849403008
2018,91504000,70188032,109796200,27243740,126387528,165388608,889024000
2019,93352000,71289280,109633752,27760300,130233352,142392528,926737024
2020,27620000,24956344,25758450,7801490,51131120,30967520,369500992
