Entity,Code,Year,"12.4.2 - Total waste generation, by activity (Tonnes) - EN_TWT_GENV - Agriculture, forestry and fishing","12.4.2 - Total waste generation, by activity (Tonnes) - EN_TWT_GENV - Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","12.4.2 - Total waste generation, by activity (Tonnes) - EN_TWT_GENV - Construction","12.4.2 - Total waste generation, by activity (Tonnes) - EN_TWT_GENV - Manufacturing","12.4.2 - Total waste generation, by activity (Tonnes) - EN_TWT_GENV - Electricity, gas, steam and air conditioning supply","12.4.2 - Total waste generation, by activity (Tonnes) - EN_TWT_GENV - Mining and quarrying","12.4.2 - Total waste generation, by activity (Tonnes) - EN_TWT_GENV - Other service activities"
Saint Vincent and the Grenadines,VCT,2002,,,1900,,,,
Samoa,WSM,2011,,970,,,,,
Samoa,WSM,2017,,27889.999,,,,,
Saudi Arabia,SAU,2010,,11544700.195,,,,,
Saudi Arabia,SAU,2011,,12048099.609,,,,,
Saudi Arabia,SAU,2012,,12560500,,,,,
Saudi Arabia,SAU,2013,,13092799.805,,,,,
Saudi Arabia,SAU,2014,,13645700.195,,,,,
Saudi Arabia,SAU,2015,,14816299.805,,,,,
Saudi Arabia,SAU,2016,,15752200.195,,21377000,,,
Saudi Arabia,SAU,2017,,16435570.312,14851440.43,18685000,741059.998,349149.994,
Saudi Arabia,SAU,2018,,20811000,,,,,
Singapore,SGP,2000,,,319000,,,,
Singapore,SGP,2001,,,351287.994,,,,
Singapore,SGP,2002,,,406600.006,,,,
Singapore,SGP,2003,,,422899.994,,,,
Singapore,SGP,2004,,,509000,,,,
Singapore,SGP,2005,,,492500,,,,
Singapore,SGP,2006,,,619000,,,,
Singapore,SGP,2007,,,778299.988,,,,
Singapore,SGP,2008,,,922000,,,,
Singapore,SGP,2009,,,1175800.049,,,,
Singapore,SGP,2010,,,921799.988,,,,
Singapore,SGP,2011,,,1203699.951,,,,
Singapore,SGP,2012,,,1291800.049,,,,
Singapore,SGP,2013,,,1695300.049,,,,
Singapore,SGP,2014,,,1269699.951,,,,
Singapore,SGP,2015,,,1411800.049,,,,
Singapore,SGP,2016,,,1595400.024,,,,
Singapore,SGP,2017,,,1609300.049,,,,
Singapore,SGP,2018,,,1624000,,,,
Singapore,SGP,2019,,,1440000,,,,
South Africa,ZAF,2011,3023600.098,8062899.902,4725500,,,369000,
South Africa,ZAF,2004,,202929.993,,,,,
South Africa,ZAF,2005,,974630.005,,,,,
South Africa,ZAF,2006,,1364079.956,,,,,
South Africa,ZAF,2007,,1371819.946,,,,,
South Africa,ZAF,2017,,4821000,4483000,,,,
Sudan,SDN,2005,,602250,,,,,
Sudan,SDN,2007,,731830.017,,,,,
Sudan,SDN,2008,,821250,,,,,
Sudan,SDN,2009,,912500,,,,,
Sudan,SDN,2010,,985500,,,,,
Suriname,SUR,2008,7110,33100,,30440,,,5280
Suriname,SUR,2009,12180,30470,,29460,,,4530
Suriname,SUR,2010,14670,36130,,26490,,,4950
Suriname,SUR,2011,14490,41130,,24210,,,4130
Suriname,SUR,2012,11910,37930,,23730,,,3640
Suriname,SUR,2013,8420,179340,,21510,,,4100
Suriname,SUR,2014,7720,157530,,23429.5,,,8270
Suriname,SUR,2015,6020,176580,,13920,,,8440
Suriname,SUR,2016,7020,177660,,12430,,,5720
Suriname,SUR,2017,5020,178850,,7670,,,3680
Suriname,SUR,2018,3240,179310,,7500,,,2120
Suriname,SUR,2019,1660,183040,,11570,,,1160
Syria,SYR,2003,,4100000,,,,,
Tanzania,TZA,2004,32440,325600,53700,45000,,,6500
Tanzania,TZA,2005,31440,333300,53800,45000,,,6500
Tanzania,TZA,2006,30820,341600,54000,45000,,,6900
Tanzania,TZA,2007,30420,348720,55000,45000,,,7400
Tanzania,TZA,2008,26040,356300,56000,45000,,,7800
Tanzania,TZA,2009,32550,333300,58000,45000,,,7500
Tanzania,TZA,2010,37560,341600,70800,64500,,,7400
Tanzania,TZA,2011,33750,348720,69000,64500,,,9000
Tanzania,TZA,2012,31740,356300,69800,71036,,,8000
Tanzania,TZA,2013,34540,363800,70800,71800,,,7000
Tanzania,TZA,2014,35840,415300,87000,72530,,,7020
Tanzania,TZA,2015,41740,417800,121600,8030,,2600,18000
Thailand,THA,2008,,23930000,,,,,
Thailand,THA,2009,,24110000,,,,,
Thailand,THA,2010,,24220000,,,,,
Thailand,THA,2011,,25350000,,,,,
Thailand,THA,2012,,24730000,,,,,
Thailand,THA,2013,,26770000,,,,,
Thailand,THA,2014,,26190000,,,,,
Thailand,THA,2015,,26850000,,,,,
Thailand,THA,2016,,27070000,,,,,
Thailand,THA,2017,,27370000,,,,,
Thailand,THA,2018,,27933000,,,,,
Thailand,THA,2019,,28712000,,,,,
Togo,TGO,2006,,246000,,,,,
Togo,TGO,2007,,250000,,,,,
Togo,TGO,2008,,255000,,,,,
Togo,TGO,2009,,259000,,,,,
Togo,TGO,2010,,264000,,,,,
Togo,TGO,2011,,269000,,,,,
Togo,TGO,2012,,274000,,,,,
Trinidad and Tobago,TTO,2000,,1158000,,,,,
Trinidad and Tobago,TTO,2001,,1038000,,,,,
Trinidad and Tobago,TTO,2002,,1164000,,,,,
Trinidad and Tobago,TTO,2003,,1332000,,,,,
Trinidad and Tobago,TTO,2004,,1448000,,,,,
Trinidad and Tobago,TTO,2005,,1548000,,,,,
Trinidad and Tobago,TTO,2006,,1537000,,,,,
Trinidad and Tobago,TTO,2007,,1629000,,,,,
Tunisia,TUN,2000,55000,1512000,,7200000,11900,,
Tunisia,TUN,2001,,1529000,,7500000,12500,,
Tunisia,TUN,2002,,1546000,,7820000,,,
Tunisia,TUN,2003,,1554000,,7500000,,,
Tunisia,TUN,2004,,1701000,2000000,,,,
Tunisia,TUN,2007,,2200000,,,,,
Tunisia,TUN,2012,,2400000,,,,,
Ukraine,UKR,2000,1251300.049,,19100,,10066099.609,,1025699.951
Ukraine,UKR,2001,1594000,,58000,,9106599.609,,1658599.976
Ukraine,UKR,2002,2081800.049,,40900.002,51408601.562,7952899.902,130080000,11987700.195
Ukraine,UKR,2003,1929800.049,,51500,49373000,8592099.609,130058203.125,4216799.805
Ukraine,UKR,2004,2494399.902,,206300.003,53953601.562,7803500,146164000,4009500
Ukraine,UKR,2005,2593000,,198699.997,54800800.781,8104700.195,161817593.75,3674699.951
Ukraine,UKR,2006,3226000,,154199.997,59916000,14520599.609,206765906.25,4162899.902
Ukraine,UKR,2007,3150500,,332700.012,63247300.781,8753500,274367406.25,4851600.098
Ukraine,UKR,2008,3179699.951,,231300.003,49791101.562,8942700.195,211781906.25,4325799.805
Ukraine,UKR,2009,2761399.902,,203000,39700699.219,7782100.098,191071093.75,4863399.902
Ukraine,UKR,2010,8568200.195,6722399.902,329399.994,50011699.219,8641000,347688093.75,3110600.098
Ukraine,UKR,2011,12438200.195,5176799.805,679299.988,51731199.219,9901200.195,357944000,9383099.609
Ukraine,UKR,2012,10238700.195,7969399.902,610299.988,51743300.781,9812000,365005406.25,4889700.195
Ukraine,UKR,2013,10311799.805,9026200.195,738000,42469898.438,9346400.391,373073593.75,2809500
Ukraine,UKR,2014,8451400.391,6314299.805,306299.988,34796699.219,5972700.195,297290093.75,1774800.049
Ukraine,UKR,2015,8736799.805,6053299.805,376200.012,31000500,6597500,257861906.25,1461400.024
Ukraine,UKR,2016,8715500,6346500,300200.012,34093000,7511500,237461406.25,1305800.049
Ukraine,UKR,2017,6188200.195,5858000,493799.988,32176699.219,6191700.195,313738187.5,1297199.951
Ukraine,UKR,2018,5968100.098,5543500,378799.988,31523199.219,6322700.195,301448906.25,1076199.951
Ukraine,UKR,2019,6750500,5896700.195,188699.997,30751800.781,5959200.195,390563812.5,1295300.049
United Arab Emirates,ARE,2011,,,15588569.336,,,,
United Arab Emirates,ARE,2012,,,17297794.922,,,,
United Arab Emirates,ARE,2013,,,17011669.922,,,,
United Arab Emirates,ARE,2014,,,14171562.5,,,,
United Arab Emirates,ARE,2015,,,16917972.656,,,,
United Arab Emirates,ARE,2016,,,22817566.406,,,,
United Arab Emirates,ARE,2017,,,25837517.578,,,,
United Arab Emirates,ARE,2018,,,21527515.625,,,,
United Arab Emirates,ARE,2019,,,20263324.219,,,,
Uruguay,URY,2000,,,,725000,3600,,88000
Venezuela,VEN,2010,,16580,,6630,,,6630
Venezuela,VEN,2011,,16580,,6850,,,6850
Venezuela,VEN,2012,,17480,,6990,,,6990
Venezuela,VEN,2013,,16889.999,,6750,,,6750
Venezuela,VEN,2014,,16480,,6590,,,6590
Yemen,YEM,2000,,1267000,,,,,
Yemen,YEM,2001,,822000,,,,,
Yemen,YEM,2002,,1310000,,,,,
Yemen,YEM,2003,,1105000,,,,,
Yemen,YEM,2004,,1167000,,,,,
Yemen,YEM,2005,,1273000,,,,,
Yemen,YEM,2006,,1382000,,,,,
Yemen,YEM,2007,,1447000,,,,,
Yemen,YEM,2008,,3422000,,,,,
Yemen,YEM,2009,,3525000,,,,,
Yemen,YEM,2010,,3631000,,,,,
Yemen,YEM,2011,,3683000,,,,,
Yemen,YEM,2012,,3837000,,,,,
Yemen,YEM,2013,,3952000,,,,,
Zambia,ZMB,2000,,1215000,,,,,
Zambia,ZMB,2005,,1458000,,,,,
Zimbabwe,ZWE,2016,1960.895,483341.949,1167.234,98247.581,6000,23,192237.015
Zimbabwe,ZWE,2017,2588.714,407835.938,688.429,53993.824,6000,13.437,261658.112
