Entity,Code,Year,"16.7.1 - Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral - SG_DMK_PARLMP_LC"
France,FRA,2021,0.75493
France,FRA,2022,0.75493
Gabon,GAB,2021,0.33278
Gabon,GAB,2022,0.31608
Gambia,GMB,2021,0.16766
Georgia,GEO,2021,0.38255
Georgia,GEO,2022,0.35258
Germany,DEU,2021,0.61642
Germany,DEU,2022,0.68434
Ghana,GHA,2021,0.29278
Ghana,GHA,2022,0.29278
Greece,GRC,2021,0.4196
Greece,GRC,2022,0.40669
Grenada,GRD,2021,0.93384
Grenada,GRD,2022,0.93384
Guatemala,GTM,2021,0.37313
Guatemala,GTM,2022,0.37313
Guinea,GIN,2021,0.31081
Guinea,GIN,2022,1.31232
Guinea-Bissau,GNB,2021,0.26201
Guinea-Bissau,GNB,2022,0.26201
Guyana,GUY,2021,0.71302
Guyana,GUY,2022,0.71302
Honduras,HND,2021,0.41472
Honduras,HND,2022,0.5376
Hungary,HUN,2021,0.23621
Hungary,HUN,2022,0.24566
Iceland,ISL,2021,0.79288
Iceland,ISL,2022,0.95145
India,IND,2021,0.29733
India,IND,2022,0.30763
Indonesia,IDN,2021,0.41942
Indonesia,IDN,2022,0.43675
Iran,IRN,2021,0.11219
Iran,IRN,2022,0.11219
Iraq,IRQ,2021,0.52159
Iraq,IRQ,2022,0.57126
Ireland,IRL,2021,0.44152
Ireland,IRL,2022,0.45378
Israel,ISR,2021,0.52143
Israel,ISR,2022,0.58661
Italy,ITA,2021,0.6847
Italy,ITA,2022,0.69493
Jamaica,JAM,2021,0.55981
Jamaica,JAM,2022,0.55981
Japan,JPN,2021,0.19114
Japan,JPN,2022,0.18658
Jordan,JOR,2021,0.23314
Jordan,JOR,2022,0.24868
Kazakhstan,KAZ,2021,0.50697
Kazakhstan,KAZ,2022,0.51176
Kenya,KEN,2021,0.42458
Kenya,KEN,2022,0.42094
Kiribati,KIR,2021,0.12659
Kiribati,KIR,2022,0.12659
Kuwait,KWT,2021,0.04358
Kuwait,KWT,2022,0.04569
