Entity,Code,Year,"3.9.1 - Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population) - SH_AAP_ASMORT"
Syria,SYR,2016,74
Tajikistan,TJK,2016,94
Tanzania,TZA,2016,51
Thailand,THA,2016,36
Timor,TLS,2016,46
Togo,TGO,2016,100
Tonga,TON,2016,27
Trinidad and Tobago,TTO,2016,38
Tunisia,TUN,2016,55
Turkey,TUR,2016,47
Turkmenistan,TKM,2016,78
Uganda,UGA,2016,69
Ukraine,UKR,2016,64
United Arab Emirates,ARE,2016,53
United Kingdom,GBR,2016,14
United States,USA,2016,13
Uruguay,URY,2016,15
Uzbekistan,UZB,2016,69
Vanuatu,VUT,2016,37
Venezuela,VEN,2016,32
Vietnam,VNM,2016,36
Western Asia,,2016,65
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2016,68
Yemen,YEM,2016,123
Zambia,ZMB,2016,47
Zimbabwe,ZWE,2016,47
