"","ind12.2.2(1)","ind12.2.2(2)","ind13.1.1(1)","ind14.1.1(2)","ind15.1.1","ind15.1.2(1)","ind15.1.2(2)","ind15.4.1","ind15.a.1(1)","ind15.b.1(1)"
"2000-01-01",NA,NA,0.00212091379411112,NA,0.000577859862481893,NA,NA,NA,NA,NA
"2001-01-01",0.00748773025828292,0.0112627012258315,0.000646625217982327,-0.0484797804371961,0.000660839254934052,0.0118917699424553,0.00437585534544771,0.0135043481100808,NA,NA
"2002-01-01",0.00692027338920012,0.00709450920670112,-0.00118743406922266,-0.0898617667551157,0.000660839254934163,0.00293596030788795,0.00184643178177139,0.00345799374191982,NA,NA
"2003-01-01",0.00372222202837747,0.00706668404740853,-0.00117699769070256,0.0754189480130695,0.000660839254934062,0.0103530967721421,0.00784898214251437,0.0191667518854029,0.00706182261090559,0.00706182261090559
"2004-01-01",-0.00826231264180632,-0.00546842893730284,-0.00102134902966202,-0.0943701393746191,0.000660839254934112,0.0269631168849874,0.0188322056735964,0.0166320326960131,-0.0143541712112213,-0.0143541712112213
"2005-01-01",0.00670974497433915,0.0102366924524011,-0.00248980353517741,0.120134623120344,0.000660839254934116,0.0182327600197896,0.0140485843734757,0.00383760042049391,0.0168103713993064,0.0168103713993064
"2006-01-01",-0.00437600477733618,-0.0041456897855382,0.00107637645007295,0.0845930492387931,0.0006608392549341,0.0131260958443333,0.0148970347972139,0.0192327265424734,0.00628463262718546,0.00628463262718546
"2007-01-01",-0.00892810762039907,-0.00898750574350619,0.00125687829497012,-0.0918024580084358,0.000660839254934068,0.00972980090968344,0.0043069913047187,0.00898984300346199,0.0218303173606163,0.0218303173606163
"2008-01-01",0.0108708854980571,0.0105358574329662,0.000496488571858386,-0.0775537385272519,0.000660839254934053,0.00581204338820007,0.00684178189746452,0.00494914353931458,-0.00958461884844763,-0.00958461884844763
"2009-01-01",0.0142241618365635,0.0119843925167737,-0.00115549496014114,-0.0522996897412511,0.000660839254934158,0.00447246474993041,0.000773755795192324,0.00348936983571212,0.0122592480544371,0.0122592480544371
"2010-01-01",-0.00368040414593222,0.00535465119262797,0.00145690418295541,0.0576407406692612,0.000660839254934071,0.00409419319655185,0.00238949087301548,0.00521243039538866,0.0384209205227273,0.0384209205227273
"2011-01-01",-0.00425832844640892,-0.00261623438686564,-0.00334375189894465,-0.03726987608021,0.00053958246198831,0.00221710719095525,0.00111868607077652,0.00206396760551545,0.0386325372070114,0.0386325372070114
"2012-01-01",0.00601685833731577,0.00708288089831934,0.00285355155856022,0.0469430799971765,0.00053958246198816,0.00301209629082299,0.00235220070111327,0.00145775825188612,-0.0405419485138945,-0.0405419485138945
"2013-01-01",-0.00215640597275316,-0.00172151468874203,0.000661295995570786,-0.0869729032656658,0.000539582461988121,0.00366271780154254,0.00347099665633022,0.00334269629535003,-0.0294288502599977,-0.0294288502599977
"2014-01-01",0.00683163577870063,0.00698001617867066,-0.000566690839267342,0.0872758848297956,0.000539582461988114,0.00266050902304728,0.000832994442890147,0.00236008008724653,0.0453813293542069,0.0453813293542069
"2015-01-01",0.00340015770725967,0.00536693040212345,0.000530412004249676,0.0512295976602088,0.000539582461988174,0.00226075659772861,0.000631279469675635,0.00346225113477935,0.0619784998978285,0.0619784998978285
"2016-01-01",0.00269871684766076,0.00380859001251226,-0.00113601999360058,0.0457495246098852,0.000352793159326659,0.00204027591700491,0.00350601933196029,0.00336427817813778,-0.0405734364622649,-0.0405734364622649
"2017-01-01",-0.00340682811889627,-0.00417953162020909,0.000454652631104941,0.028803607077228,0.000352793159326723,0.0053923266194786,0.00218818650332667,0.00411041724440697,0.0594246851733361,0.0594246851733361
"2018-01-01",0.0036935047114676,0.0064501372612961,-0.000669388957428991,-0.0281334272998042,0.000352793159326513,0.00467862727581873,0.00591524450859057,0.0033877499132592,-0.0661887540621625,-0.0661887540621625
"2019-01-01",0.00327330713784076,0.00418322150191907,0.000985241009566213,-0.0687757922217234,0.000352793159326505,0.000554312992428946,0.000402551896434792,0.000557845769580783,NA,NA
"2020-01-01",NA,NA,NA,NA,0.000352793159326596,0,0,0,NA,NA
