"","ind1.1.1","ind1.a.1.1","ind1.a.2.1","ind2.5.2","ind3.1.1","ind3.2.1","ind3.2.2","ind3.3.2","ind3.4.1","ind3.4.2","ind3.6.1.1","ind3.b.1.1","ind3.b.1.3","ind6.1.1.1","ind6.2.1.1","ind7.1.1","ind7.1.2","ind7.2.1","ind7.3.1","ind8.1.1","ind8.2.1","ind8.4.2.1","ind8.4.2.2","ind8.5.2.1","ind9.1.2.1","ind9.1.2.2","ind9.1.2.3","ind9.2.1","ind9.2.2.1","ind9.2.2.2","ind9.4.1","ind9.5.1","ind9.5.2","ind9.c.1.1","ind9.c.1.2"
"2000-01-01",0.116802315961266,-0.142857142857143,-0.092950261751135,-0.142857142857143,-0.142857142857143,-0.118716773819174,-0.12949444876165,-0.142857142857143,0.142857142857143,-0.142857142857143,-0.134858387468768,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,-0.142857142857143,-0.142857142857143,-0.142857142857143,-0.127737403686668,-0.0761511708055437,0.142857142857143,-0.142857142857143,-0.142857142857143,-0.0769380747965105,-0.132813959247215,0.138393034266919,0.128167923368302,0.126116255797761,0.123369908191138,-0.142857142857143,-0.125580675421467,-0.125071643007421,-0.120365397638856,-0.0486130373016914,-0.056842996944465
"2001-01-01",0.127326879688711,-0.107757344679194,-0.101522818767249,-0.100002979884712,-0.102070825205733,-0.120743047716651,-0.122772552243872,-0.097170454503996,0.100133292028867,-0.123577111499932,-0.135568876395232,0.131227688864059,-0.00544708864674082,0.136428413261268,0.139832235205522,-0.142857142857143,-0.142857142857143,-0.128812959437863,-0.125776127379804,-0.0208551550632693,0.0452134362520423,-0.127310362711024,-0.120253828665057,-0.0731339637090676,-0.135115901989226,0.141050247698722,0.12691540198672,0.0925407153681811,0.119928007413247,-0.122059832845208,-0.126465793931852,-0.123815013297866,-0.121967888437088,-0.0898855859741853,-0.0737582238571359
"2002-01-01",0.12982541565282,-0.0669410181485819,-0.115111608485311,-0.129317633674689,-0.142857142857143,-0.122711129732953,-0.132855379896688,-0.118341941111057,0.116974624965774,-0.129465698724732,-0.135404345012817,0.142857142857143,0.123175992647656,0.136701301768336,0.139774978395917,-0.142857142857143,-0.142857142857143,-0.128679325503783,-0.129814679886403,-0.0740646196566307,0.097343710027248,-0.130744628486166,-0.130529681158735,-0.0967011389594661,-0.134483910184301,0.13903525743355,0.132095951013066,0.11653822265844,0.116989327910516,-0.118507006193948,-0.1248159079603,-0.127680360759521,-0.115538033514632,-0.118316820260678,-0.0536813612570093
"2003-01-01",0.0912285221058629,-0.0859408683862852,-0.124176081417568,-0.131762466724648,-0.118386617568362,-0.126705432391308,-0.126133506207489,-0.128881337728774,0.115568821632629,-0.11879305588432,-0.136497654547634,0.109601852568258,0.023772548130162,0.136963231787216,0.137144755487971,-0.142857142857143,-0.142857142857143,-0.120637885425486,-0.125960338736318,-0.0968960155589028,0.107819379655656,-0.135395414036804,-0.129987606924517,-0.10714868074882,-0.134705778869275,0.140358103227956,0.126320608869372,0.113690155497047,0.111305479208142,-0.105595977434389,-0.133686718516782,-0.13204264003456,-0.106657528869574,-0.109589680381231,-0.0991801176937565
"2004-01-01",0.114032700725266,-0.123899343099295,-0.0963578447552221,-0.0961777491106949,-0.142857142857143,-0.128731688534261,-0.126052658808252,-0.11993761321242,0.0905703005248913,-0.114210900482779,-0.133338887502543,0.117104256059752,0.0753825976524302,0.131596753717334,0.136750513040885,-0.142857142857143,-0.142857142857143,-0.129486692480271,-0.133917416155299,-0.076037677450165,0.0625141585227932,-0.126055570026222,-0.13157866819097,-0.0863838714017761,-0.125131233005501,0.139064394396132,0.124276379615696,0.122305842945002,0.116144254526134,-0.113959668845271,-0.122859926706812,-0.130481952775205,-0.121108309608148,-0.101991092993955,-0.0913811016004791
"2005-01-01",0.12986749341668,-0.0479279434357051,-0.125349472352533,-0.0886209336907997,-0.134700725764087,-0.126705432391308,-0.12941357851448,-0.116467818251415,0.115598483250884,-0.123561311314017,-0.137707350698141,0.131227688864059,0.0943653760079085,0.128616879317417,0.13685878413377,-0.142857142857143,-0.142857142857143,-0.122151205083502,-0.128248493195199,-0.104664950359317,0.0393704908344875,-0.130407401145007,-0.123537455428416,-0.11094112157281,-0.132332058211081,0.13803242185732,0.13860622759638,0.117562262781955,0.121284369163532,-0.112805630717925,-0.121790135295444,-0.127773891550804,-0.112388222933981,-0.0962477542087395,-0.102416896210074
"2006-01-01",0.118105491453636,-0.0669410181485822,-0.125612819431698,-0.129043645207885,-0.126543883270857,-0.126676310541672,-0.126052658808252,-0.131296676364082,0.104292137367261,-0.122164169342788,-0.136166332251158,0.138943992899755,0.0943653760079083,0.128343990609675,0.137082594083563,-0.142857142857143,-0.142857142857143,-0.120399733780881,-0.120866655782995,-0.0816504476137294,0.0760547222135937,-0.131424982525977,-0.132872862796429,-0.0930512039428426,-0.138537876011011,0.137766709560247,0.131076223752688,0.121128006854028,0.13155937889774,-0.120238576299257,-0.116984046766643,-0.128428763371942,-0.125083983450619,-0.0995286336321263,-0.120333116604031
"2007-01-01",0.134828181840508,-0.123899343099296,-0.124894044988728,-0.126543883270857,-0.134700725764087,-0.126676310541672,-0.12941357851448,-0.118412469180434,0.125542817166602,-0.12143794495013,-0.133679824046749,0.131227688864059,0.123175992647656,0.133681263951543,0.136857936949638,-0.142857142857143,-0.142857142857143,-0.113340765689716,-0.121870557658289,-0.0958011883513592,0.0968438857518088,-0.124014423054397,-0.124825197608736,-0.0946594886478648,-0.136463542524361,0.136718138867142,0.136942968214113,0.118898799963383,0.130217835401789,-0.127754664972189,-0.122757874973595,-0.127707182803853,-0.118357731836995,-0.0955236251649291,-0.0804321973598759
"2008-01-01",0.12500342360473,-0.0152238100492824,-0.126340897615751,-0.0946172937366903,-0.134700725764087,-0.126676310541672,-0.126052658808252,-0.127776888154098,0.116989461919144,-0.127985657286312,-0.132628560223251,0.135030821703586,0.114055580395488,0.133407853604585,0.13696999798377,-0.142857142857143,-0.142857142857143,-0.110076545144834,-0.136144013262294,-0.0151233394110274,-0.0102791959119271,-0.121785532456356,-0.122627016123938,-0.0883941366222302,-0.13366179202977,0.137895839894734,0.134811922901254,0.102177440945066,0.120137469096558,-0.0874386816553633,-0.122671170895336,-0.120705588305571,-0.115901312070564,-0.119644628109769,-0.112986480564254
"2009-01-01",0.0873874143358763,-0.107757344679194,-0.125502052980997,-0.0892919223126307,-0.126543883270857,-0.130728815413363,-0.136135383601705,-0.128809325726826,0.119934583111031,-0.12945383826937,-0.132952862110272,0.0748361843470273,0.0936474171301819,0.133128180681298,0.137025381954815,-0.142857142857143,-0.142857142857143,-0.113070189094518,-0.134306354997024,-0.0747324591932526,0.0214644561925715,-0.117733496429524,-0.121766168718958,0.00205326951550552,-0.135690249678124,0.137936397488956,0.110215663833239,0.0682074545512734,0.102098239971742,-0.0862990732963579,-0.118866813711097,-0.110573120218246,-0.115266483540351,-0.129246990488378,-0.11228691017633
"2010-01-01",0.0969304754185371,-0.123899343099295,-0.119585747702725,-0.121269676226691,-0.134700725764087,-0.126705432391308,-0.126052658808252,-0.125753482464974,0.115628138730559,-0.127263419507217,-0.133954884257253,0.101990073837322,0.104210922485223,0.128314267181119,0.137081613119589,-0.142857142857143,-0.142857142857143,-0.123765236778738,-0.134735524068555,0.208156831044949,-0.131658205275509,-0.134161222712243,-0.133618228198492,-0.110081303157777,-0.129729544414243,0.140392204321562,0.101290743711341,0.0971602032939385,0.112670028740032,-0.119276594938001,-0.137987311402548,-0.123572611192649,-0.119116888808256,-0.107910145309318,-0.119315191739985
"2011-01-01",0.0983015440511772,-0.0533831246094675,-0.114604940602471,-0.0743473943218731,-0.134700725764087,-0.130728815413363,-0.136135383601705,-0.126367685344913,0.119860398341792,-0.120648567483369,-0.138196014298599,0.0947008618346567,0.0943653760079081,0.128041900042995,0.137195212477371,-0.142857142857143,-0.142857142857143,-0.110620877488211,-0.112317543801993,-0.0723039483074306,0.042776099363906,-0.131388413020069,-0.135715006868098,-0.099088368966182,-0.133885354074796,0.139300091530406,0.136519969616118,0.124342338523056,0.114950172585746,-0.135225563774121,-0.11127861880135,-0.126556195760364,-0.121369943452897,-0.123395857719522,-0.131043724572598
"2012-01-01",0.108319577073317,-0.123899343099295,-0.120400122719521,-0.105551031478124,-0.11022893082877,-0.126705432391308,-0.132774486782202,-0.127033189353423,0.122701627011952,-0.119523282371485,-0.138331971628779,0.112755090920898,0.0788869373740432,0.128846484332163,0.137137821989303,-0.142857142857143,-0.142857142857143,-0.102312235182092,-0.129112291542286,-0.0221100649041926,0.0542002219952037,-0.131015690443127,-0.129181142161352,-0.080629041640219,-0.138514131942362,0.137126787783293,0.136103220868843,0.135612052273864,0.110056589622319,-0.131474076950756,-0.128335068236172,-0.123478996806156,-0.120931303496624,-0.127958874123422,-0.122530150311448
"2013-01-01",0.0940258616477026,-0.123899343099295,-0.12173684288804,-0.108053747431122,-0.142857142857143,-0.130699681696632,-0.12941357851448,-0.130877537058017,0.117048794369483,-0.124334915819231,-0.139085985985907,0.112209183708072,0.104210922485224,0.128041900042995,0.137249771535554,-0.142857142857143,-0.142857142857143,-0.109463716803329,-0.13587653210951,-0.118625645880113,0.0984437942093971,-0.134534883745899,-0.136685067281824,-0.0930734681247017,-0.138701260764673,0.137371650753795,0.131668689259086,0.131117968216693,0.127646656951848,-0.134315030197798,-0.129624833939736,-0.121839394301274,-0.123035565776918,-0.125881826360802,-0.110224175041114
"2014-01-01",0.0934817282050247,-0.0859408683862852,-0.126731089296456,-0.0682865672193,-0.134700725764087,-0.130728815413363,-0.132774486782202,-0.127160207452941,0.121295861362412,-0.111392309894917,-0.139641259811105,0.119487857819586,0.113334040608836,0.128584548217031,0.137306181057592,-0.142857142857143,-0.142857142857143,-0.120536049251515,-0.117669532403104,-0.0789620495320108,0.0917066489539918,-0.130454640517575,-0.127989326411088,-0.0854416691045771,-0.137027125567485,0.140511624069019,0.133967897646602,0.131252247544316,0.126929763235057,-0.129562960481208,-0.112739488755787,-0.126993719142489,-0.130748215906295,-0.109355974722746,-0.124487949307505
"2015-01-01",0.0883042636081779,-0.123899343099295,-0.142857142857143,-0.110773377802351,-0.127035653517846,-0.136778418964385,-0.132774486782202,-0.122162907534475,0.135635433840743,-0.125830775669826,-0.138517179838835,0.127314432957688,0.114055580395488,0.127756494503314,0.137474450939065,-0.142857142857143,-0.142857142857143,-0.120677616752335,-0.126681793388273,-0.0828845339569789,0.0988609974597686,-0.136438663945433,-0.133181123213076,-0.101276920190381,-0.133789593312466,0.13652510142366,0.138800920433728,0.120809370424758,0.133201288460717,-0.133333747829011,-0.126255229985851,-0.142857142857143,-0.142857142857143,-0.123352076266882,-0.118413829753623
"2016-01-01",0.0941683410327331,-0.104927110786589,-0.142857142857143,-0.0999125387368481,-0.118386617568362,-0.130699681696632,-0.139496268963265,-0.136402329798562,0.127067380414665,-0.103339772323885,-0.138059760238185,0.131117629293175,0.0859408683862854,0.129663585489844,0.137531685376078,-0.142857142857143,-0.142857142857143,-0.123500813532071,-0.142857142857143,-0.10727784801447,0.0999853831534447,-0.135075249637681,-0.133596711591404,-0.111360644793148,-0.135336451139824,0.139691587440103,0.136226156957653,0.127086906058102,0.135212548113482,-0.134270007456194,-0.1259244661413,-0.142857142857143,-0.142857142857143,-0.121823231358453,-0.106347108114556
"2017-01-01",0.101245035931273,-0.104927110786589,-0.142857142857143,-0.114306261590909,-0.127035653517846,-0.134752174693972,-0.12941357851448,-0.130024840796232,0.119904913814188,-0.114065098423875,-0.141644769106566,0.112318530640249,0.123175992647656,0.129658369617509,0.13764350114363,-0.142857142857143,-0.142857142857143,-0.117463847554003,-0.142857142857143,-0.0854388107373523,0.0853014299534525,-0.132059086371637,-0.134080164562847,-0.0963900614574663,-0.134531216637828,0.136816668311214,0.12094034494349,0.134681393584116,0.137614637324139,-0.135244861405838,-0.12664980925913,-0.142857142857143,-0.142857142857143,-0.125358574887917,-0.124472759021166
"2018-01-01",0.124467703207102,-0.104927110786589,-0.142857142857143,-0.113492962155644,-0.142857142857143,-0.130699681696633,-0.139496268963265,-0.133443483704934,0.121266172073297,-0.122862750253484,-0.140518367492287,0.112318530640249,0.133017029057329,0.129392783157622,0.137474562414349,-0.142857142857143,-0.142857142857143,-0.11140455989782,-0.142857142857143,-0.0897095243076992,0.0887030338695902,-0.134425922787947,-0.129246976171567,-0.101269688921607,-0.132985241379234,0.139945192986917,0.131030206627028,0.134105867872067,0.142857142857143,-0.129575817758392,-0.129833664937696,-0.142857142857143,-0.142857142857143,-0.124021069627574,-0.117552174154682
"2019-01-01",0.141382288321235,-0.142857142857143,-0.142857142857143,-0.121105753024644,-0.142857142857143,-0.132725928937903,-0.126052658808253,-0.133023035413272,0.131284555943222,-0.119334170096137,-0.140855875117831,0.131117629293175,0.123175992647656,0.135036312321178,0.138207217342211,-0.142857142857143,-0.142857142857143,-0.119122926187348,-0.142857142857143,-0.119345000329552,0.0982846736588012,-0.136005626016959,-0.135439688782649,-0.113778584763363,-0.132282606681042,0.142857142857143,0.136911145095377,0.126831328085473,0.142857142857143,-0.134276440144864,-0.142857142857143,-0.142857142857143,-0.142857142857143,-0.121482982877681,-0.1365129857761
"2020-01-01",0.142857142857143,-0.142857142857143,-0.142857142857143,-0.126543883270857,-0.142857142857143,-0.142857142857143,-0.142857142857143,-0.142857142857143,0.142857142857143,-0.142857142857143,-0.142857142857143,0.112427794639563,0.0950798067681259,0.138025036810104,0.140335149212458,-0.142857142857143,-0.142857142857143,-0.142857142857143,-0.142857142857143,-0.19757835398299,0.0986256087338625,-0.142857142857143,-0.142857142857143,-0.00545213072060626,-0.142857142857143,0.142857142857143,0.142857142857143,0.123270716588757,0.142857142857143,-0.12408008434788,-0.142857142857143,-0.142857142857143,-0.142857142857143,-0.142857142857143,-0.142857142857143
