Year,Canada,France,Germany,Italy,Japan,United Kingdom,United States
1999,1881599976,4968399902,6610700195,1614599976,8225599609,4925200195,27292199219
2000,1896114014,5224339844,7127712891,1748406006,8672047852,5160872070,30171974609
2001,1709812988,4825202148,7026248047,1521024048,7614102051,4548546875,27924568359
2002,1578026978,5030160156,7195804199,1393802979,8204670898,4940526855,29554683594
2003,1496296997,5067323242,7295669922,1373956055,8279576172,5159694824,34205554688
2004,1656578979,5584212891,8065600098,1393037964,8708244141,5698490234,37450121094
2005,1526818970,5802441895,7722132813,1365128052,8549241211,5998434082,37357644531
2006,1503185059,6135027832,8133986816,1377203979,8480024414,6215320801,39881894531
2007,1429844971,6424965820,8528958984,1549938965,8435069336,6154451172,40617738281
2008,1388665039,6187795898,8352881836,1279020996,8172807129,6283831055,39313597656
2009,1346937988,6624890137,10187718750,400000000,10485665039,6615125000,35097671875
2010,1957328491,5079718262,7487480957,784969848.6,7698797852,6082739258,39353257813
2011,1980000000,5068762207,7716761719,760268371.6,6545944824,6280250977,39621914063
2012,1960000000,4626153809,7236980469,795116149.9,7045780762,6243542969,39111339844
2013,1946305542,4327125977,7335699219,892930664.1,7715926758,6031574707,37113558594
2014,2084318115,4151292969,7184145996,989179870.6,8661757813,5974825195,38225195313
2015,2074830811,4098310059,6986405273,945264953.6,8661757813,5423173340,37866222656
2016,2246227051,4155407227,6942706543,1083244873,9360887695,5512672852,38657917969
2017,2840985107,4260597168,7901652344,1437245117,10684574219,5915641113,41591550781
2018,2482000000,4443789063,7969863770,1418004761,9420659180,6198370117,42985300781
2019,3109042969,4522585938,7763619141,1344955200,8919480469,5851189941,42498261719
2020,2306166260,2467943115,5454642090,978760620.1,7841507813,3675244873,40793093750
