Entity,Code,Year,Indicator:General government expenditure on health as a percentage of total government expenditure
Costa Rica,CRI,1999,23.80168
Costa Rica,CRI,2000,24.25268
Costa Rica,CRI,2001,21.81131
Costa Rica,CRI,2002,24.43943
Costa Rica,CRI,2003,25.68255
Costa Rica,CRI,2004,23.57254
Costa Rica,CRI,2005,21.3463
Costa Rica,CRI,2006,22.05602
Costa Rica,CRI,2007,24.63362
Costa Rica,CRI,2008,26.0899
Costa Rica,CRI,2009,30.60737
Costa Rica,CRI,2010,28.99229
Costa Rica,CRI,2011,26.45467
Costa Rica,CRI,2012,25.72011
Costa Rica,CRI,2013,24.05637
Costa Rica,CRI,2014,23.34115
Cote d'Ivoire,CIV,1995,6.83274
Cote d'Ivoire,CIV,1996,8.31197
Cote d'Ivoire,CIV,1997,9.17111
Cote d'Ivoire,CIV,1998,9.02382
Cote d'Ivoire,CIV,1999,9.01287
Cote d'Ivoire,CIV,2000,10.03102
Cote d'Ivoire,CIV,2001,8.04103
Cote d'Ivoire,CIV,2002,7.6162
Cote d'Ivoire,CIV,2003,7.38912
Cote d'Ivoire,CIV,2004,7.72955
Cote d'Ivoire,CIV,2005,6.99114
Cote d'Ivoire,CIV,2006,7.65879
Cote d'Ivoire,CIV,2007,7.53565
Cote d'Ivoire,CIV,2008,7.47907
Cote d'Ivoire,CIV,2009,8.48701
Cote d'Ivoire,CIV,2010,8.22452
Cote d'Ivoire,CIV,2011,8.8696
Cote d'Ivoire,CIV,2012,8.52094
Cote d'Ivoire,CIV,2013,8.20382
Cote d'Ivoire,CIV,2014,7.34925
Croatia,HRV,1995,12.84234
Croatia,HRV,1996,13.09316
Croatia,HRV,1997,10.59317
Croatia,HRV,1998,11.59549
Croatia,HRV,1999,12.12685
Croatia,HRV,2000,13.02051
Croatia,HRV,2001,12.41321
Croatia,HRV,2002,10.78375
Croatia,HRV,2003,11.92169
Croatia,HRV,2004,11.91797
Croatia,HRV,2005,13.65673
Croatia,HRV,2006,13.69153
Croatia,HRV,2007,14.90908
Croatia,HRV,2008,15.26081
Croatia,HRV,2009,15.26081
Croatia,HRV,2010,15.26081
Croatia,HRV,2011,13.15572
Croatia,HRV,2012,13.99285
Croatia,HRV,2013,13.99285
Croatia,HRV,2014,13.99285
Cuba,CUB,1995,8.02375
Cuba,CUB,1996,9.28708
Cuba,CUB,1997,9.99005
Cuba,CUB,1998,10.29728
Cuba,CUB,1999,11.06843
Cuba,CUB,2000,10.8036
Cuba,CUB,2001,11.39179
Cuba,CUB,2002,11.18465
Cuba,CUB,2003,10.89011
Cuba,CUB,2004,10.32043
Cuba,CUB,2005,13.73157
Cuba,CUB,2006,11.2067
Cuba,CUB,2007,14.48243
Cuba,CUB,2008,13.17876
Cuba,CUB,2009,14.9334
Cuba,CUB,2010,13.86765
Cuba,CUB,2011,15.09942
Cuba,CUB,2012,11.54663
Cuba,CUB,2013,14.14603
Cuba,CUB,2014,18.01095
Cyprus,CYP,1995,5.0812
Cyprus,CYP,1996,5.01615
Cyprus,CYP,1997,5.34497
Cyprus,CYP,1998,6.37642
Cyprus,CYP,1999,6.51167
Cyprus,CYP,2000,6.48268
Cyprus,CYP,2001,6.45222
Cyprus,CYP,2002,6.8857
Cyprus,CYP,2003,6.91818
Cyprus,CYP,2004,6.63322
Cyprus,CYP,2005,6.17487
Cyprus,CYP,2006,6.25681
Cyprus,CYP,2007,6.23771
Cyprus,CYP,2008,6.767
Cyprus,CYP,2009,7.16035
Cyprus,CYP,2010,7.41932
Cyprus,CYP,2011,7.58121
Cyprus,CYP,2012,7.45558
Cyprus,CYP,2013,7.58416
Cyprus,CYP,2014,7.58416
Czechia,CZE,1995,11.47697
Czechia,CZE,1996,13.94922
Czechia,CZE,1997,13.57457
Czechia,CZE,1998,13.51058
Czechia,CZE,1999,13.60524
Czechia,CZE,2000,13.69262
Czechia,CZE,2001,13.13185
Czechia,CZE,2002,13.48703
Czechia,CZE,2003,12.8095
Czechia,CZE,2004,14.22047
Czechia,CZE,2005,14.07687
Czechia,CZE,2006,13.83319
Czechia,CZE,2007,13.5396
Czechia,CZE,2008,13.67951
Czechia,CZE,2009,14.70345
Czechia,CZE,2010,14.23115
Czechia,CZE,2011,14.62935
Czechia,CZE,2012,14.24887
Czechia,CZE,2013,14.90725
Czechia,CZE,2014,14.90725
Democratic Republic of Congo,COD,1995,2.16385
Democratic Republic of Congo,COD,1996,1.62055
Democratic Republic of Congo,COD,1997,2.44618
Democratic Republic of Congo,COD,1998,2.02361
Democratic Republic of Congo,COD,1999,2.60176
Democratic Republic of Congo,COD,2000,1.78483
Democratic Republic of Congo,COD,2001,2.79409
Democratic Republic of Congo,COD,2002,2.4414
Democratic Republic of Congo,COD,2003,10.74011
Democratic Republic of Congo,COD,2004,4.95197
Democratic Republic of Congo,COD,2005,6.18407
Democratic Republic of Congo,COD,2006,8.3208
Democratic Republic of Congo,COD,2007,9.88513
Democratic Republic of Congo,COD,2008,12.66208
Democratic Republic of Congo,COD,2009,18.6866
Democratic Republic of Congo,COD,2010,7.81443
Democratic Republic of Congo,COD,2011,7.1612
Democratic Republic of Congo,COD,2012,11.60252
Democratic Republic of Congo,COD,2013,9.2815
Democratic Republic of Congo,COD,2014,11.05626
Denmark,DNK,1995,11.31098
Denmark,DNK,1996,11.48808
Denmark,DNK,1997,11.83158
Denmark,DNK,1998,11.8844
Denmark,DNK,1999,13.54538
Denmark,DNK,2000,13.59251
Denmark,DNK,2001,14.13653
Denmark,DNK,2002,14.44735
Denmark,DNK,2003,14.60026
Denmark,DNK,2004,14.94499
Denmark,DNK,2005,15.63457
Denmark,DNK,2006,16.28284
Denmark,DNK,2007,16.59071
Denmark,DNK,2008,16.733
Denmark,DNK,2009,16.79451
Denmark,DNK,2010,16.33999
Denmark,DNK,2011,16.05836
Denmark,DNK,2012,15.85161
Denmark,DNK,2013,16.77062
Denmark,DNK,2014,16.77062
Djibouti,DJI,1995,6.22406
Djibouti,DJI,1996,6.72201
Djibouti,DJI,1997,7.81325
Djibouti,DJI,1998,10.35987
Djibouti,DJI,1999,13.22589
Djibouti,DJI,2000,11.96592
Djibouti,DJI,2001,11.84239
Djibouti,DJI,2002,10.70105
Djibouti,DJI,2003,11.47967
Djibouti,DJI,2004,12.26931
Djibouti,DJI,2005,13.41163
Djibouti,DJI,2006,12.57585
Djibouti,DJI,2007,14.13974
Djibouti,DJI,2008,14.13974
Djibouti,DJI,2009,14.13974
Djibouti,DJI,2010,14.13974
Djibouti,DJI,2011,14.13974
Djibouti,DJI,2012,14.13974
Djibouti,DJI,2013,14.13974
Djibouti,DJI,2014,14.13974
Dominica,DMA,1995,11.94824
Dominica,DMA,1996,10.68797
Dominica,DMA,1997,10.76067
Dominica,DMA,1998,8.95338
Dominica,DMA,1999,8.44832
Dominica,DMA,2000,6.64011
Dominica,DMA,2001,8.50099
Dominica,DMA,2002,9.09366
Dominica,DMA,2003,7.89474
Dominica,DMA,2004,8.21819
Dominica,DMA,2005,7.9424
Dominica,DMA,2006,10.66995
Dominica,DMA,2007,8.24481
Dominica,DMA,2008,8.68422
Dominica,DMA,2009,9.98186
Dominica,DMA,2010,10.59143
Dominica,DMA,2011,12.15602
Dominica,DMA,2012,9.62107
Dominica,DMA,2013,10.58156
Dominica,DMA,2014,10.4727
Dominican Republic,DOM,1995,10.68779
Dominican Republic,DOM,1996,10.97292
Dominican Republic,DOM,1997,11.81627
Dominican Republic,DOM,1998,13.82123
Dominican Republic,DOM,1999,14.09314
Dominican Republic,DOM,2000,15.86292
Dominican Republic,DOM,2001,11.88478
Dominican Republic,DOM,2002,12.15
Dominican Republic,DOM,2003,12.34624
Dominican Republic,DOM,2004,7.53834
Dominican Republic,DOM,2005,7.86671
Dominican Republic,DOM,2006,9.02037
Dominican Republic,DOM,2007,10.61084
Dominican Republic,DOM,2008,9.59807
Dominican Republic,DOM,2009,11.8682
Dominican Republic,DOM,2010,12.18683
Dominican Republic,DOM,2011,14.64882
Dominican Republic,DOM,2012,14.35662
Dominican Republic,DOM,2013,15.53787
Dominican Republic,DOM,2014,17.36031
Eastern Mediterranean,,1995,5.96912
Eastern Mediterranean,,1996,6.19686
Eastern Mediterranean,,1997,6.60161
Eastern Mediterranean,,1998,7.17522
Eastern Mediterranean,,1999,7.84833
Eastern Mediterranean,,2000,8.09224
Eastern Mediterranean,,2001,8.58975
Eastern Mediterranean,,2002,7.5767
Eastern Mediterranean,,2003,7.65555
Eastern Mediterranean,,2004,7.15461
Eastern Mediterranean,,2005,7.27048
Eastern Mediterranean,,2006,7.52792
Eastern Mediterranean,,2007,7.41944
Eastern Mediterranean,,2008,6.61411
Eastern Mediterranean,,2009,7.6139
Eastern Mediterranean,,2010,7.18685
Eastern Mediterranean,,2011,7.54933
Eastern Mediterranean,,2012,8.06964
Eastern Mediterranean,,2013,7.89677
Eastern Mediterranean,,2014,7.86201
Ecuador,ECU,1995,9.62005
Ecuador,ECU,1996,11.20473
Ecuador,ECU,1997,10.51116
Ecuador,ECU,1998,9.361
Ecuador,ECU,1999,8.53668
Ecuador,ECU,2000,5.08159
Ecuador,ECU,2001,7.52778
Ecuador,ECU,2002,8.57534
Ecuador,ECU,2003,7.47278
Ecuador,ECU,2004,5.87994
Ecuador,ECU,2005,5.62242
Ecuador,ECU,2006,5.07249
Ecuador,ECU,2007,5.44894
Ecuador,ECU,2008,4.6271
Ecuador,ECU,2009,6.63295
Ecuador,ECU,2010,7.09137
Ecuador,ECU,2011,6.60079
Ecuador,ECU,2012,7.32124
Ecuador,ECU,2013,8.76083
Ecuador,ECU,2014,10.22916
Egypt,EGY,1995,5.3454
Egypt,EGY,1996,5.46405
Egypt,EGY,1997,6.28728
Egypt,EGY,1998,8.07226
Egypt,EGY,1999,7.19966
Egypt,EGY,2000,7.33037
Egypt,EGY,2001,7.69204
Egypt,EGY,2002,6.72148
Egypt,EGY,2003,6.09783
Egypt,EGY,2004,5.9293
Egypt,EGY,2005,6.05239
Egypt,EGY,2006,6.05708
Egypt,EGY,2007,5.80358
Egypt,EGY,2008,5.63595
Egypt,EGY,2009,5.95168
Egypt,EGY,2010,5.6024
Egypt,EGY,2011,6.25831
Egypt,EGY,2012,5.84575
Egypt,EGY,2013,5.54561
Egypt,EGY,2014,5.58768
El Salvador,SLV,1995,13.4671
El Salvador,SLV,1996,13.91071
El Salvador,SLV,1997,14.14467
El Salvador,SLV,1998,14.84108
El Salvador,SLV,1999,14.47628
El Salvador,SLV,2000,15.07833
El Salvador,SLV,2001,14.20262
El Salvador,SLV,2002,11.94898
El Salvador,SLV,2003,15.88216
El Salvador,SLV,2004,15.14228
El Salvador,SLV,2005,15.53948
El Salvador,SLV,2006,15.90857
El Salvador,SLV,2007,15.62353
El Salvador,SLV,2008,15.01391
El Salvador,SLV,2009,12.37396
El Salvador,SLV,2010,13.50725
El Salvador,SLV,2011,14.70328
El Salvador,SLV,2012,15.45819
El Salvador,SLV,2013,16.77614
El Salvador,SLV,2014,16.69398
Equatorial Guinea,GNQ,1995,15.25743
Equatorial Guinea,GNQ,1996,11.67972
Equatorial Guinea,GNQ,1997,12.90807
Equatorial Guinea,GNQ,1998,8.65786
Equatorial Guinea,GNQ,1999,8.65786
Equatorial Guinea,GNQ,2000,8.65786
Equatorial Guinea,GNQ,2001,8.65786
Equatorial Guinea,GNQ,2002,8.65786
Equatorial Guinea,GNQ,2003,8.65786
Equatorial Guinea,GNQ,2004,6.49877
Equatorial Guinea,GNQ,2005,6.49877
Equatorial Guinea,GNQ,2006,6.49877
Equatorial Guinea,GNQ,2007,6.49877
Equatorial Guinea,GNQ,2008,7.05279
Equatorial Guinea,GNQ,2009,6.95716
Equatorial Guinea,GNQ,2010,6.95716
Equatorial Guinea,GNQ,2011,6.95716
Equatorial Guinea,GNQ,2012,6.95716
Equatorial Guinea,GNQ,2013,6.95716
Equatorial Guinea,GNQ,2014,6.95716
Eritrea,ERI,1995,2.99805
Eritrea,ERI,1996,2.13968
Eritrea,ERI,1997,3.42185
Eritrea,ERI,1998,2.40852
Eritrea,ERI,1999,2.05079
Eritrea,ERI,2000,2.61122
Eritrea,ERI,2001,2.59626
Eritrea,ERI,2002,3.22581
Eritrea,ERI,2003,2.97143
Eritrea,ERI,2004,3.56604
Eritrea,ERI,2005,1.83168
Eritrea,ERI,2006,3.55612
Eritrea,ERI,2007,3.59524
Eritrea,ERI,2008,3.59524
Eritrea,ERI,2009,3.59524
Eritrea,ERI,2010,3.59524
Eritrea,ERI,2011,3.59524
Eritrea,ERI,2012,3.59524
Eritrea,ERI,2013,3.59524
Eritrea,ERI,2014,3.59524
Estonia,EST,1995,13.74489
Estonia,EST,1996,14.72689
Estonia,EST,1997,14.75449
Estonia,EST,1998,12.23769
Estonia,EST,1999,11.29997
Estonia,EST,2000,11.29554
Estonia,EST,2001,10.97411
Estonia,EST,2002,10.44913
Estonia,EST,2003,10.84899
Estonia,EST,2004,11.41697
Estonia,EST,2005,11.46589
Estonia,EST,2006,10.93664
Estonia,EST,2007,11.47685
Estonia,EST,2008,11.88166
Estonia,EST,2009,11.66063
Estonia,EST,2010,12.31235
Estonia,EST,2011,12.30301
Estonia,EST,2012,12.99489
Estonia,EST,2013,13.5387
Estonia,EST,2014,13.5387
Eswatini,SWZ,1995,12.35922
Eswatini,SWZ,1996,12.31568
Eswatini,SWZ,1997,11.92195
Eswatini,SWZ,1998,11.80621
Eswatini,SWZ,1999,10.6367
Eswatini,SWZ,2000,10.54227
Eswatini,SWZ,2001,9.99422
Eswatini,SWZ,2002,9.89023
Eswatini,SWZ,2003,12.25902
Eswatini,SWZ,2004,10.47977
Eswatini,SWZ,2005,12.95231
Eswatini,SWZ,2006,14.87597
Eswatini,SWZ,2007,12.48128
Eswatini,SWZ,2008,14.52853
Eswatini,SWZ,2009,14.31645
Eswatini,SWZ,2010,15.42251
Eswatini,SWZ,2011,18.07423
Eswatini,SWZ,2012,18.07423
Eswatini,SWZ,2013,19.69826
Eswatini,SWZ,2014,16.57853
Ethiopia,ETH,1995,6.97462
Ethiopia,ETH,1996,7.0138
Ethiopia,ETH,1997,7.28994
Ethiopia,ETH,1998,7.67231
Ethiopia,ETH,1999,6.92108
Ethiopia,ETH,2000,9.35782
Ethiopia,ETH,2001,9.74013
Ethiopia,ETH,2002,9.71818
Ethiopia,ETH,2003,9.22732
Ethiopia,ETH,2004,10.11122
Ethiopia,ETH,2005,11.16304
Ethiopia,ETH,2006,11.45153
Ethiopia,ETH,2007,12.51853
Ethiopia,ETH,2008,11.85052
Ethiopia,ETH,2009,14.15898
Ethiopia,ETH,2010,19.83681
Ethiopia,ETH,2011,19.01086
Ethiopia,ETH,2012,18.53255
Ethiopia,ETH,2013,15.94214
Ethiopia,ETH,2014,15.7497
Europe,,1995,12.53871
Europe,,1996,13.18041
Europe,,1997,13.35355
Europe,,1998,13.54191
Europe,,1999,13.80784
Europe,,2000,14.34553
Europe,,2001,14.20799
Europe,,2002,14.42857
Europe,,2003,14.61104
Europe,,2004,14.79676
Europe,,2005,15.07373
Europe,,2006,15.22527
Europe,,2007,15.1595
Europe,,2008,15.16802
Europe,,2009,15.2994
Europe,,2010,15.11708
Europe,,2011,15.3942
Europe,,2012,15.29065
Europe,,2013,15.41876
Europe,,2014,15.54712
Fiji,FJI,1995,9.35155
Fiji,FJI,1996,8.8754
Fiji,FJI,1997,8.71788
Fiji,FJI,1998,8.44632
Fiji,FJI,1999,9.37737
Fiji,FJI,2000,11.31596
Fiji,FJI,2001,8.66746
Fiji,FJI,2002,9.1221
Fiji,FJI,2003,8.95442
Fiji,FJI,2004,10.32475
Fiji,FJI,2005,10.75504
Fiji,FJI,2006,10.38562
Fiji,FJI,2007,10.22636
Fiji,FJI,2008,10.93993
Fiji,FJI,2009,10.08114
Fiji,FJI,2010,10.70324
Fiji,FJI,2011,9.22784
Fiji,FJI,2012,9.49297
Fiji,FJI,2013,9.66774
Fiji,FJI,2014,9.24747
Finland,FIN,1995,9.14624
Finland,FIN,1996,9.57564
Finland,FIN,1997,9.83599
Finland,FIN,1998,10.06262
Finland,FIN,1999,10.18654
Finland,FIN,2000,10.64226
Finland,FIN,2001,11.1439
Finland,FIN,2002,11.54843
Finland,FIN,2003,11.7942
Finland,FIN,2004,11.98071
Finland,FIN,2005,12.35778
Finland,FIN,2006,12.76389
Finland,FIN,2007,12.72822
Finland,FIN,2008,12.70791
Finland,FIN,2009,12.28902
Finland,FIN,2010,12.0793
Finland,FIN,2011,12.25088
Finland,FIN,2012,12.41673
Finland,FIN,2013,12.32318
Finland,FIN,2014,12.35047
France,FRA,1995,14.8719
France,FRA,1996,14.82184
France,FRA,1997,14.73478
France,FRA,1998,14.98597
France,FRA,1999,15.04367
France,FRA,2000,15.17648
France,FRA,2001,15.32497
France,FRA,2002,15.56767
France,FRA,2003,15.39818
France,FRA,2004,15.62414
France,FRA,2005,15.6328
France,FRA,2006,15.57
France,FRA,2007,15.54421
France,FRA,2008,15.41661
France,FRA,2009,15.40934
France,FRA,2010,15.3765
France,FRA,2011,15.61382
France,FRA,2012,15.53038
France,FRA,2013,15.62425
France,FRA,2014,15.68729
Gabon,GAB,1995,5.20996
Gabon,GAB,1996,6.24437
Gabon,GAB,1997,3.78147
Gabon,GAB,1998,3.57319
Gabon,GAB,1999,4.47127
Gabon,GAB,2000,5.30079
Gabon,GAB,2001,4.61976
Gabon,GAB,2002,5.05202
Gabon,GAB,2003,7.024
Gabon,GAB,2004,7.07679
Gabon,GAB,2005,5.24211
Gabon,GAB,2006,5.56675
Gabon,GAB,2007,6.53473
Gabon,GAB,2008,5.68565
Gabon,GAB,2009,6.85052
Gabon,GAB,2010,10.6575
Gabon,GAB,2011,7.77799
Gabon,GAB,2012,8.23642
Gabon,GAB,2013,10.05956
Gabon,GAB,2014,7.38011
Gambia,GMB,1995,6.88745
Gambia,GMB,1996,6.04502
Gambia,GMB,1997,6.7187
Gambia,GMB,1998,10.39426
Gambia,GMB,1999,10.40186
Gambia,GMB,2000,10.37205
Gambia,GMB,2001,8.22563
Gambia,GMB,2002,8.66303
Gambia,GMB,2003,12.87075
Gambia,GMB,2004,11.65616
Gambia,GMB,2005,13.04761
Gambia,GMB,2006,14.16588
Gambia,GMB,2007,18.60344
Gambia,GMB,2008,18.5599
Gambia,GMB,2009,14.70446
Gambia,GMB,2010,14.54806
Gambia,GMB,2011,14.48222
Gambia,GMB,2012,12.38943
Gambia,GMB,2013,15.31002
Gambia,GMB,2014,15.31002
Georgia,GEO,1995,2.47681
Georgia,GEO,1996,4.51678
Georgia,GEO,1997,6.51807
Georgia,GEO,1998,5.89209
Georgia,GEO,1999,5.47781
Georgia,GEO,2000,6.9148
Georgia,GEO,2001,7.7765
Georgia,GEO,2002,7.7735
Georgia,GEO,2003,7.063
Georgia,GEO,2004,5.59784
Georgia,GEO,2005,6.1501
Georgia,GEO,2006,5.87599
Georgia,GEO,2007,4.25591
Georgia,GEO,2008,4.77995
Georgia,GEO,2009,6.07108
Georgia,GEO,2010,6.55263
Georgia,GEO,2011,5.34094
Georgia,GEO,2012,3.81764
Georgia,GEO,2013,4.22121
Georgia,GEO,2014,5.00485
Germany,DEU,1995,14.04809
Germany,DEU,1996,16.5856
Germany,DEU,1997,16.82513
Germany,DEU,1998,16.86097
Germany,DEU,1999,16.79933
Germany,DEU,2000,17.87481
Germany,DEU,2001,17.12662
Germany,DEU,2002,17.31038
Germany,DEU,2003,17.33615
Germany,DEU,2004,17.101
Germany,DEU,2005,17.3305
Germany,DEU,2006,17.58202
Germany,DEU,2007,18.0593
Germany,DEU,2008,18.13455
Germany,DEU,2009,18.30718
Germany,DEU,2010,18.1476
Germany,DEU,2011,18.58113
Germany,DEU,2012,18.8107
Germany,DEU,2013,19.25261
Germany,DEU,2014,19.6468
Ghana,GHA,1995,10.83659
Ghana,GHA,1996,10.78938
Ghana,GHA,1997,10.97074
Ghana,GHA,1998,11.02027
Ghana,GHA,1999,9.89835
Ghana,GHA,2000,7.84957
Ghana,GHA,2001,9.33575
Ghana,GHA,2002,8.45067
Ghana,GHA,2003,8.33337
Ghana,GHA,2004,12.58205
Ghana,GHA,2005,15.07607
Ghana,GHA,2006,13.98461
Ghana,GHA,2007,16.1575
Ghana,GHA,2008,13.14973
Ghana,GHA,2009,16.44812
Ghana,GHA,2010,14.92779
Ghana,GHA,2011,14.02724
Ghana,GHA,2012,9.31847
Ghana,GHA,2013,10.58097
Ghana,GHA,2014,6.81969
Greece,GRC,1995,9.35084
Greece,GRC,1996,9.59485
Greece,GRC,1997,9.68366
Greece,GRC,1998,9.12209
Greece,GRC,1999,9.4042
Greece,GRC,2000,9.82692
Greece,GRC,2001,11.19049
Greece,GRC,2002,11.03927
Greece,GRC,2003,11.04673
Greece,GRC,2004,10.30931
Greece,GRC,2005,12.35101
Greece,GRC,2006,12.83523
Greece,GRC,2007,12.06267
Greece,GRC,2008,11.51305
Greece,GRC,2009,12.54352
Greece,GRC,2010,11.84871
Greece,GRC,2011,12.32195
Greece,GRC,2012,11.37497
Greece,GRC,2013,9.98286
Greece,GRC,2014,9.98286
Grenada,GRD,1995,10.43163
Grenada,GRD,1996,9.23077
Grenada,GRD,1997,9.25267
Grenada,GRD,1998,9.5082
Grenada,GRD,1999,11.76471
Grenada,GRD,2000,13.22404
Grenada,GRD,2001,15.06413
Grenada,GRD,2002,9.70189
Grenada,GRD,2003,10.35058
Grenada,GRD,2004,10.73338
Grenada,GRD,2005,10.7668
Grenada,GRD,2006,9.79066
Grenada,GRD,2007,10.30361
Grenada,GRD,2008,9.49705
Grenada,GRD,2009,10.97544
Grenada,GRD,2010,10.97839
Grenada,GRD,2011,10.56278
Grenada,GRD,2012,11.42228
Grenada,GRD,2013,9.80812
Grenada,GRD,2014,9.21309
Guatemala,GTM,1995,14.9574
Guatemala,GTM,1996,14.94398
Guatemala,GTM,1997,15.05052
Guatemala,GTM,1998,13.14116
Guatemala,GTM,1999,12.78756
Guatemala,GTM,2000,14.41523
Guatemala,GTM,2001,14.34956
Guatemala,GTM,2002,14.70056
Guatemala,GTM,2003,14.22313
Guatemala,GTM,2004,15.39751
Guatemala,GTM,2005,14.93828
Guatemala,GTM,2006,15.06445
Guatemala,GTM,2007,15.03425
Guatemala,GTM,2008,16.08852
Guatemala,GTM,2009,16.90097
Guatemala,GTM,2010,15.68842
Guatemala,GTM,2011,14.3633
Guatemala,GTM,2012,14.68704
Guatemala,GTM,2013,16.85987
Guatemala,GTM,2014,17.82989
Guinea,GIN,1995,7.04437
Guinea,GIN,1996,4.67322
Guinea,GIN,1997,4.30169
Guinea,GIN,1998,6.42162
Guinea,GIN,1999,6.42162
Guinea,GIN,2000,6.42162
Guinea,GIN,2001,6.29503
Guinea,GIN,2002,6.61431
Guinea,GIN,2003,6.43897
Guinea,GIN,2004,4.90111
Guinea,GIN,2005,3.28508
Guinea,GIN,2006,3.49798
Guinea,GIN,2007,2.82765
Guinea,GIN,2008,4.4954
Guinea,GIN,2009,5.68732
Guinea,GIN,2010,6.77798
Guinea,GIN,2011,9.20473
Guinea,GIN,2012,8.03499
Guinea,GIN,2013,9.49268
Guinea,GIN,2014,8.996
Guinea-Bissau,GNB,1995,9.1783
Guinea-Bissau,GNB,1996,6.14579
Guinea-Bissau,GNB,1997,5.0602
Guinea-Bissau,GNB,1998,8.90141
Guinea-Bissau,GNB,1999,4.64623
Guinea-Bissau,GNB,2000,2.25333
Guinea-Bissau,GNB,2001,2.20293
Guinea-Bissau,GNB,2002,7.67474
Guinea-Bissau,GNB,2003,6.9059
Guinea-Bissau,GNB,2004,3.43741
Guinea-Bissau,GNB,2005,5.0203
Guinea-Bissau,GNB,2006,5.14377
Guinea-Bissau,GNB,2007,6.45399
Guinea-Bissau,GNB,2008,4.84682
Guinea-Bissau,GNB,2009,8.66292
Guinea-Bissau,GNB,2010,9.07835
Guinea-Bissau,GNB,2011,5.83548
Guinea-Bissau,GNB,2012,10.39684
Guinea-Bissau,GNB,2013,13.32171
Guinea-Bissau,GNB,2014,7.78711
Guyana,GUY,1995,10.30754
Guyana,GUY,1996,10.09689
Guyana,GUY,1997,10.23879
Guyana,GUY,1998,10.7651
Guyana,GUY,1999,10.67975
Guyana,GUY,2000,10.76509
Guyana,GUY,2001,10.67957
Guyana,GUY,2002,11.29278
Guyana,GUY,2003,10.66943
Guyana,GUY,2004,10.22095
Guyana,GUY,2005,8.08494
Guyana,GUY,2006,8.76745
Guyana,GUY,2007,15.59087
Guyana,GUY,2008,19.1496
Guyana,GUY,2009,17.18481
Guyana,GUY,2010,14.716
Guyana,GUY,2011,15.59427
Guyana,GUY,2012,13.1411
Guyana,GUY,2013,8.77041
Guyana,GUY,2014,9.44736
Haiti,HTI,1995,23.58081
Haiti,HTI,1996,20.30652
Haiti,HTI,1997,20.20313
Haiti,HTI,1998,16.82168
Haiti,HTI,1999,14.86232
Haiti,HTI,2000,16.00599
Haiti,HTI,2001,14.69321
Haiti,HTI,2002,12.78668
Haiti,HTI,2003,13.41783
Haiti,HTI,2004,16.59684
Haiti,HTI,2005,8.19331
Haiti,HTI,2006,12.60623
Haiti,HTI,2007,9.21972
Haiti,HTI,2008,9.45835
Haiti,HTI,2009,6.17639
Haiti,HTI,2010,5.48087
Haiti,HTI,2011,5.48087
Haiti,HTI,2012,3.44225
Haiti,HTI,2013,6.13942
Haiti,HTI,2014,6.13942
High-income,,1995,13.82791
High-income,,1996,14.13309
High-income,,1997,14.50988
High-income,,1998,14.67852
High-income,,1999,14.84974
High-income,,2000,15.28444
High-income,,2001,15.59594
High-income,,2002,15.86293
High-income,,2003,15.95448
High-income,,2004,16.30299
High-income,,2005,16.50154
High-income,,2006,16.7397
High-income,,2007,16.66334
High-income,,2008,16.58797
High-income,,2009,16.70267
High-income,,2010,16.8052
High-income,,2011,17.08336
High-income,,2012,17.2279
High-income,,2013,17.43744
High-income,,2014,17.6334
Honduras,HND,1995,11.43066
Honduras,HND,1996,9.56896
Honduras,HND,1997,9.33306
Honduras,HND,1998,11.54582
Honduras,HND,1999,9.78321
Honduras,HND,2000,15.25739
Honduras,HND,2001,13.53968
Honduras,HND,2002,13.67339
Honduras,HND,2003,16.79804
Honduras,HND,2004,15.45637
Honduras,HND,2005,15.52516
Honduras,HND,2006,13.42209
Honduras,HND,2007,13.96953
Honduras,HND,2008,13.23855
Honduras,HND,2009,15.76088
Honduras,HND,2010,15.62753
Honduras,HND,2011,15.12734
Honduras,HND,2012,16.69053
Honduras,HND,2013,14.58942
Honduras,HND,2014,15.40436
Hungary,HUN,1995,11.01655
Hungary,HUN,1996,11.24888
Hungary,HUN,1997,11.11551
Hungary,HUN,1998,10.48046
Hungary,HUN,1999,10.76806
Hungary,HUN,2000,10.62901
Hungary,HUN,2001,10.44167
Hungary,HUN,2002,10.34789
Hungary,HUN,2003,12.26641
Hungary,HUN,2004,11.66115
Hungary,HUN,2005,11.80429
Hungary,HUN,2006,11.04051
Hungary,HUN,2007,10.18236
Hungary,HUN,2008,10.16233
Hungary,HUN,2009,9.87601
Hungary,HUN,2010,10.45022
Hungary,HUN,2011,10.2328
Hungary,HUN,2012,10.28327
Hungary,HUN,2013,10.13899
Hungary,HUN,2014,10.13899
Iceland,ISL,1995,16.12743
Iceland,ISL,1996,16.10243
Iceland,ISL,1997,16.32991
Iceland,ISL,1998,17.26099
Iceland,ISL,1999,18.7044
Iceland,ISL,2000,18.25776
Iceland,ISL,2001,17.66387
Iceland,ISL,2002,18.58522
Iceland,ISL,2003,18.38961
Iceland,ISL,2004,18.13194
Iceland,ISL,2005,18.08894
Iceland,ISL,2006,17.86541
Iceland,ISL,2007,17.61812
Iceland,ISL,2008,13.06911
Iceland,ISL,2009,15.41231
Iceland,ISL,2010,14.40565
Iceland,ISL,2011,15.25241
